episode,step,cpu_frame_time,gpu_frame_time,fps,visible_renderer_count,triangle_count,draw_call_count,camera_speed,camera_rotation_speed,avg_screen_coverage,previous_bias,recent_lod_switch_count,lod_bias_before_action,action_delta,lod_bias_after_action
1,0,28.4232,6.8526,39.86,4642,269193,1901,0.0000,0.0000,0.008877,1.0000,0,1.0000,0.0000,1.0000
1,1,27.2054,6.8946,21.48,4642,408975,3237,1.7183,241.8020,0.008877,1.0000,1,1.0000,-0.0500,0.9500
1,2,24.6212,8.5443,165.17,4642,437708,3653,0.0000,1715.0360,0.008877,0.9500,1,0.9500,0.0000,0.9500
1,3,35.4581,9.0511,24.03,4642,433743,3945,1.9214,64.4486,0.008877,0.9500,2,0.9500,0.0500,1.0000
1,4,40.8960,9.6768,39.81,4642,433343,4070,1.5930,16.7426,0.008877,1.0000,2,1.0000,0.0000,1.0000
1,5,23.5551,9.7833,69.84,4642,452364,4161,2.7935,0.0000,0.008877,1.0000,3,1.0000,-0.0500,0.9500
1,6,13.0043,9.9553,32.35,4642,446793,4131,2.5883,0.0000,0.008877,0.9500,3,0.9500,0.0000,0.9500
1,7,22.4827,10.1816,32.09,4642,444648,3959,1.2836,0.0000,0.008877,0.9500,4,0.9500,-0.0500,0.9000
1,8,29.1940,10.3967,30.61,4642,407211,4086,2.4477,0.0000,0.008877,0.9000,4,0.9000,0.0000,0.9000
1,9,30.3716,10.2851,35.66,4642,424472,4023,1.4262,0.0000,0.008877,0.9000,5,0.9000,-0.0500,0.8500
1,10,32.0625,9.9308,37.59,4642,415328,3991,3.0073,0.0000,0.008877,0.8500,5,0.8500,0.0000,0.8500
1,11,28.2546,9.8867,39.43,4642,426624,3994,1.5779,0.0000,0.008877,0.8500,6,0.8500,-0.0500,0.8000
1,12,27.0452,10.3445,165.17,4642,434776,3965,0.0000,0.0000,0.008877,0.8000,6,0.8000,0.0000,0.8000
1,13,25.6101,10.3404,23.93,4642,426686,3997,1.9141,0.0000,0.008877,0.8000,7,0.8000,0.0500,0.8500
1,14,36.0149,10.3485,43.99,4642,442569,3972,1.7597,0.0000,0.008877,0.8500,7,0.8500,0.0000,0.8500
1,15,9.0068,10.6670,165.17,4642,451211,4085,6.6013,0.0000,0.008877,0.8500,8,0.8500,-0.0500,0.8000
1,16,25.7173,9.1290,24.67,4642,420465,3886,1.9731,0.0000,0.008877,0.8000,8,0.8000,0.0000,0.8000
1,17,34.9690,9.9144,165.17,4642,423414,3863,0.0000,0.0000,0.008877,0.8000,9,0.8000,-0.0500,0.7500
1,18,8.9621,10.1796,28.84,4642,418964,3923,5.7695,0.0000,0.008877,0.7500,9,0.7500,0.0000,0.7500
1,19,29.9933,10.0751,40.26,4642,442443,3889,4.0284,3.9016,0.008877,0.7500,10,0.7500,-0.0500,0.7000
1,20,10.4688,10.5349,45.33,4642,440153,3819,4.5402,36.0510,0.008877,0.7000,10,0.7000,0.0000,0.7000
1,21,27.2154,10.6844,47.43,4642,426006,3613,4.7314,54.2928,0.008877,0.7000,11,0.7000,0.0500,0.7500
1,22,23.0425,9.8171,27.70,4642,423368,3602,5.5325,87.0162,0.008877,0.7500,11,0.7500,0.0000,0.7500
1,23,18.9977,9.8611,110.40,4642,392214,3390,0.0000,72.6985,0.008877,0.7500,12,0.7500,-0.0500,0.7000
1,24,40.5199,9.2467,46.79,4642,373133,3181,9.3452,78.6308,0.008877,0.7000,12,0.7000,0.0000,0.7000
1,25,8.2876,9.2836,165.17,4642,365128,3277,0.0000,343.4969,0.008877,0.7000,13,0.7000,0.0500,0.7500
1,26,23.8922,9.3266,25.08,4642,383257,3294,5.0211,13.0117,0.008877,0.7500,13,0.7500,0.0000,0.7500
1,27,32.0568,8.8525,47.51,4642,362793,3229,4.7552,40.8378,0.008877,0.7500,14,0.7500,-0.0500,0.7000
1,28,11.1149,9.0706,28.97,4642,356198,3100,5.7897,15.0340,0.008877,0.7000,14,0.7000,0.0000,0.7000
1,29,22.6712,8.6436,34.34,4642,348404,2702,3.4342,0.0000,0.008877,0.7000,15,0.7000,-0.0500,0.6500
1,30,30.5676,8.1377,36.26,5896,355233,3049,3.6257,0.0000,0.007877,0.6500,15,0.6500,0.0000,0.6500
1,31,29.3329,8.0251,38.30,5896,349116,2974,7.6612,3.0305,0.007877,0.6500,15,0.6500,-0.0500,0.6000
1,32,27.2255,8.3036,25.47,5896,345252,2927,5.0942,14.3215,0.007877,0.6000,15,0.6000,0.0000,0.6000
1,33,27.2708,8.1582,165.17,5896,359450,3035,0.0000,86.1987,0.007877,0.6000,15,0.6000,-0.0500,0.5500
1,34,38.4187,8.2739,37.24,5896,347401,2895,3.7261,16.4748,0.007877,0.5500,15,0.5500,0.0000,0.5500
1,35,19.7126,8.1121,165.17,5896,358101,2998,16.5307,125.5278,0.007877,0.5500,15,0.5500,-0.0500,0.5000
1,36,13.2727,8.0579,29.87,5896,353720,2895,2.9840,8.3578,0.007877,0.5000,15,0.5000,0.0000,0.5000
1,37,24.9252,8.2801,165.17,5896,331048,2907,16.5165,108.9556,0.007877,0.5000,15,0.5000,-0.0500,0.4500
1,38,8.3984,8.5729,32.44,5896,323355,2868,3.2455,5.1342,0.007877,0.4500,15,0.4500,0.0000,0.4500
1,39,26.8859,8.5166,35.69,5896,328702,2936,7.1296,1.4122,0.007877,0.4500,15,0.4500,-0.0500,0.4000
1,40,12.3428,8.3057,31.49,5896,332550,2852,3.1495,0.0000,0.007877,0.4000,15,0.4000,0.0000,0.4000
1,41,32.4875,8.7685,35.30,5896,329746,2859,7.0641,0.0000,0.007877,0.4000,15,0.4000,-0.0500,0.3500
1,42,31.8205,8.4183,37.33,5896,323131,2803,3.7335,0.0000,0.007877,0.3500,15,0.3500,0.0000,0.3500
1,43,27.1189,8.6958,39.11,5896,303661,2787,3.9078,0.0000,0.007877,0.3500,15,0.3500,-0.0500,0.3000
1,44,27.4058,7.9933,165.17,5896,277296,2507,16.5149,0.0000,0.007877,0.3000,15,0.3000,0.0000,0.3000
1,45,25.9076,8.1142,23.87,5896,288036,2777,4.7746,0.0000,0.007877,0.3000,15,0.3000,0.0500,0.3500
1,46,35.9090,8.0230,44.38,5896,279956,2748,4.4392,0.0000,0.007877,0.3500,15,0.3500,0.0000,0.3500
1,47,8.9922,7.9350,165.17,5896,276517,2671,0.0000,0.0000,0.007877,0.3500,15,0.3500,-0.0500,0.3000
1,48,26.1937,8.0742,23.91,5896,288915,2702,4.7860,0.0000,0.007877,0.3000,15,0.3000,0.0000,0.3000
1,49,35.2887,8.0026,45.55,5896,287116,2470,4.5077,0.0000,0.007877,0.3000,14,0.3000,0.0000,0.3000
1,50,8.8070,8.4316,165.17,5896,293958,2720,16.5314,0.0000,0.007877,0.3000,15,0.3000,0.0500,0.3500
1,51,24.9714,8.1265,24.78,5896,282397,2696,4.9623,0.0000,0.007877,0.3500,14,0.3500,0.0000,0.3500
1,52,35.0026,7.9718,45.98,5896,283970,2693,6.4835,0.0000,0.007877,0.3500,15,0.3500,-0.0500,0.3000
1,53,8.4222,8.2698,165.17,5896,271490,2566,0.0000,0.0000,0.007877,0.3000,14,0.3000,0.0000,0.3000
1,54,24.7289,7.8285,25.74,5896,265341,2481,6.8391,0.0000,0.007877,0.3000,15,0.3000,0.0500,0.3500
1,55,34.1009,7.4895,48.33,5896,272984,2541,6.0557,0.0000,0.007877,0.3500,14,0.3500,0.0000,0.3500
1,56,7.9962,7.7578,165.17,5896,259310,2423,0.0000,0.0000,0.007877,0.3500,15,0.3500,0.0500,0.4000
1,57,23.3650,7.6974,25.91,5896,240682,2330,6.1597,0.0000,0.007877,0.4000,14,0.4000,0.0000,0.4000
1,58,34.0878,6.8342,48.35,5896,226690,2326,5.4706,0.0000,0.007877,0.4000,15,0.4000,-0.0500,0.3500
1,59,7.8996,7.3144,29.71,5896,237057,2298,6.4248,0.0000,0.007877,0.3500,14,0.3500,0.0000,0.3500
1,60,23.2510,6.8035,34.63,4631,222371,2164,3.6089,0.0000,0.008917,0.3500,15,0.3500,-0.0500,0.3000
1,61,32.6302,6.4911,36.57,4631,216986,2127,7.4261,0.0000,0.008917,0.3000,14,0.3000,0.0000,0.3000
1,62,29.0598,6.2945,38.46,4631,223364,2156,3.8530,0.0000,0.008917,0.3000,14,0.3000,0.0000,0.3000
1,63,29.8538,6.2618,30.27,4631,200005,1992,6.0652,0.0000,0.008917,0.3000,13,0.3000,0.0000,0.3000
1,64,32.6184,6.1911,31.46,4631,208350,1596,6.4383,0.0000,0.008917,0.3000,12,0.3000,0.0000,0.3000
1,65,4.8315,6.6427,33.12,4631,213143,2027,3.4916,0.0000,0.008917,0.3000,12,0.3000,0.0000,0.3000
1,66,29.1174,6.1747,34.81,4631,200467,1957,3.7658,0.0000,0.008917,0.3000,11,0.3000,0.0000,0.3000
1,67,29.8739,6.0365,36.67,4631,208587,2026,8.3016,0.0000,0.008917,0.3000,11,0.3000,0.0000,0.3000
1,68,29.0291,5.8522,38.68,4631,199662,1962,4.6097,0.0000,0.008917,0.3000,10,0.3000,0.0000,0.3000
1,69,27.7436,6.1256,165.17,4631,199950,1886,0.0000,0.0000,0.008917,0.3000,10,0.3000,0.0000,0.3000
1,70,26.2449,6.1624,23.82,4631,206045,1923,7.6954,0.0000,0.008917,0.3000,10,0.3000,0.0500,0.3500
1,71,36.0657,5.8860,44.36,4631,197904,1906,3.1430,0.0000,0.008917,0.3500,10,0.3500,0.0000,0.3500
1,72,9.0574,5.8542,165.17,4631,210290,1926,0.0000,42.8509,0.008917,0.3500,10,0.3500,-0.0500,0.3000
1,73,25.3890,6.2034,24.67,4631,216889,1657,6.0140,2.9287,0.008917,0.3000,10,0.3000,0.0000,0.3000
1,74,38.6218,6.1133,45.45,4631,213285,2006,5.2634,32.7187,0.008917,0.3000,9,0.3000,0.0000,0.3000
1,75,6.2537,6.6580,165.17,4631,209931,1975,0.0000,400.3347,0.008917,0.3000,10,0.3000,0.0500,0.3500
1,76,24.0574,6.0457,24.98,4631,213437,2054,3.6233,12.6552,0.008917,0.3500,9,0.3500,0.0000,0.3500
1,77,37.7552,5.9331,47.60,4631,218391,2078,2.8924,146.7941,0.008917,0.3500,10,0.3500,-0.0500,0.3000
1,78,5.4347,6.7994,165.17,4631,219963,2179,8.7392,726.7210,0.008917,0.3000,10,0.3000,0.0000,0.3000
1,79,24.4858,6.3427,25.93,4631,233675,2300,2.1338,23.3974,0.008917,0.3000,10,0.3000,0.0500,0.3500
1,80,35.0386,6.3754,48.23,4631,209254,2126,1.4164,106.1430,0.008917,0.3500,10,0.3500,0.0000,0.3500
1,81,6.9536,6.8055,29.03,4631,246439,2399,0.6248,23.7911,0.008917,0.3500,10,0.3500,0.0500,0.4000
1,82,25.9529,6.6130,34.42,4631,214183,2336,0.6711,0.0000,0.008917,0.4000,10,0.4000,0.0000,0.4000
1,83,30.7251,6.4430,36.31,4631,245473,2457,0.0735,0.0000,0.008917,0.4000,10,0.4000,-0.0500,0.3500
1,84,28.3294,7.1127,38.30,4631,242289,2424,1.0568,0.0000,0.008917,0.3500,10,0.3500,0.0000,0.3500
1,85,28.0921,6.9530,39.88,4631,243711,2424,1.0195,0.0000,0.008917,0.3500,10,0.3500,-0.0500,0.3000
1,86,26.4712,6.9612,165.17,4631,247583,2411,0.0000,0.0000,0.008917,0.3000,10,0.3000,0.0000,0.3000
1,87,25.1170,6.8413,24.76,4631,239973,2363,1.8489,0.0000,0.008917,0.3000,10,0.3000,0.0500,0.3500
1,88,35.1749,6.7359,45.93,4631,236239,2370,2.2557,18.8854,0.008917,0.3500,10,0.3500,0.0000,0.3500
1,89,8.4632,6.9837,165.17,6384,244857,2410,11.1278,506.4019,0.007456,0.3500,10,0.3500,0.0500,0.4000
1,90,25.1643,6.7707,16.57,6384,243457,2456,3.9166,15.2754,0.007456,0.4000,10,0.4000,0.0000,0.4000
1,91,34.7019,6.6755,165.17,6384,239707,2443,0.0000,905.6321,0.007456,0.4000,11,0.4000,-0.0500,0.3500
1,92,7.2363,6.9089,34.70,6384,260991,2712,1.2058,150.3910,0.007456,0.3500,11,0.3500,0.0000,0.3500
1,93,23.8387,7.4752,42.82,6384,267873,2808,1.2635,43.1266,0.007456,0.3000,12,0.3000,0.0000,0.3000
1,94,30.8464,7.6698,35.95,6384,262395,2759,1.0155,122.1991,0.007456,0.3000,12,0.3000,0.0000,0.3000
1,95,6.1697,8.0681,37.92,6384,264525,2818,1.0235,120.9737,0.007456,0.3000,12,0.3000,0.0000,0.3000
1,96,21.6306,7.6298,39.60,6384,287052,2899,2.1550,50.7440,0.007456,0.3000,12,0.3000,0.0000,0.3000
1,97,21.4299,7.6083,25.18,6384,284106,2891,1.4195,0.0000,0.007456,0.3000,12,0.3000,0.0000,0.3000
1,98,33.6691,7.5725,44.32,6384,283363,2856,1.2928,0.0000,0.007456,0.3000,11,0.3000,0.0000,0.3000
1,99,7.7929,7.9759,165.17,6384,295453,2965,0.0000,0.0000,0.007456,0.3000,11,0.3000,0.0000,0.3000
1,100,24.9810,7.6554,25.54,6384,287498,2945,1.5378,0.0000,0.007456,0.3000,11,0.3000,0.0500,0.3500
1,101,34.5058,7.6483,47.83,6384,278003,2719,1.4824,0.0000,0.007456,0.3500,11,0.3500,0.0000,0.3500
1,102,8.5102,8.0568,165.17,6384,283703,2933,0.0000,17.2892,0.007456,0.3500,12,0.3500,0.0500,0.4000
1,103,23.6280,7.8397,34.79,6384,273233,2855,0.0000,1.9464,0.007456,0.4000,11,0.4000,0.0000,0.4000
1,104,33.2834,7.6442,28.40,6384,287233,2797,0.0000,10.8929,0.007456,0.4000,12,0.4000,-0.0500,0.3500
1,105,8.7152,7.8705,30.68,6384,282916,2976,0.0000,21.6817,0.007456,0.3500,11,0.3500,0.0000,0.3500
1,106,25.9268,8.1961,45.84,6384,289175,2938,0.0000,28.5608,0.007456,0.3500,12,0.3500,-0.0500,0.3000
1,107,31.7411,7.7629,50.97,6384,274584,2894,0.0000,32.6407,0.007456,0.3000,11,0.3000,0.0000,0.3000
1,108,23.4156,7.7537,165.17,6384,287356,2887,0.0000,185.6369,0.007456,0.3000,12,0.3000,0.0500,0.3500
1,109,21.2763,7.9596,27.33,6384,290041,3004,0.0000,7.6455,0.007456,0.3500,11,0.3500,0.0000,0.3500
1,110,33.5121,7.7087,48.44,6384,280297,2907,0.0000,32.0718,0.007456,0.3500,12,0.3500,-0.0500,0.3000
1,111,9.1752,8.0015,28.98,6384,288355,3009,0.0000,17.4634,0.007456,0.3000,11,0.3000,0.0000,0.3000
1,112,22.8985,7.8930,34.28,6384,290617,2972,0.0000,4.0694,0.007456,0.3000,11,0.3000,0.0000,0.3000
1,113,31.0183,7.5356,36.13,6384,282029,2956,0.0000,0.0000,0.007456,0.3000,10,0.3000,0.0000,0.3000
1,114,29.1281,7.8950,38.18,6384,284663,2958,0.0000,0.0000,0.007456,0.3000,10,0.3000,0.0000,0.3000
1,115,27.0816,7.7537,30.13,6384,282015,2902,0.0000,0.0000,0.007456,0.3000,9,0.3000,0.0000,0.3000
1,116,35.6255,7.4998,31.65,10474,285513,2949,0.0000,0.0000,0.004008,0.3000,8,0.3000,0.0000,0.3000
1,117,26.2271,7.8141,165.17,10474,292009,2965,0.0000,0.0000,0.004008,0.3000,7,0.3000,0.0000,0.3000
1,118,30.6246,7.5796,165.17,10474,289838,2972,0.0000,0.0000,0.004008,0.3000,8,0.3000,0.0500,0.3500
1,119,41.1378,7.9923,20.32,10474,294821,3009,0.0000,0.0000,0.004008,0.3500,7,0.3500,0.0000,0.3500
1,120,21.3683,7.5018,53.64,10474,279831,2878,0.0000,0.0000,0.004008,0.3500,8,0.3500,-0.0500,0.3000
1,121,6.0772,7.9555,32.46,10474,292701,2991,0.0000,0.0000,0.004008,0.3000,8,0.3000,0.0000,0.3000
1,122,21.1308,7.8234,30.91,10474,293653,3022,0.0000,0.0000,0.004008,0.3000,8,0.3000,0.0000,0.3000
1,123,30.5469,7.7312,35.59,10474,293883,3009,0.0000,0.0000,0.004008,0.3000,8,0.3000,0.0000,0.3000
1,124,31.9214,7.5018,37.69,10474,279258,2926,0.0000,0.0000,0.004008,0.3000,8,0.3000,0.0000,0.3000
1,125,28.0755,7.4957,39.37,10474,282507,2917,0.0000,0.0000,0.004008,0.3000,8,0.3000,0.0000,0.3000
1,126,27.0659,7.1762,165.17,10474,275383,2906,0.0000,0.0000,0.004008,0.3000,8,0.3000,0.0000,0.3000
1,127,25.6014,6.9325,24.70,10474,275853,2926,0.0000,0.0000,0.004008,0.3000,9,0.3000,0.0500,0.3500
1,128,35.1782,7.1772,45.85,10474,276166,2868,0.0000,0.0000,0.004008,0.3500,8,0.3500,0.0000,0.3500
1,129,8.6104,7.0185,165.17,10474,298581,2987,0.0000,0.0000,0.004008,0.3500,9,0.3500,0.0500,0.4000
1,130,24.5006,7.6012,25.73,10474,292413,2989,0.0000,0.0000,0.004008,0.4000,8,0.4000,0.0000,0.4000
1,131,34.2125,7.3441,46.36,10474,298574,3055,0.0000,0.0000,0.004008,0.4000,9,0.4000,-0.0500,0.3500
1,132,8.1337,8.1541,165.17,10474,302607,3086,0.0000,0.0000,0.004008,0.3500,8,0.3500,0.0000,0.3500
1,133,24.1371,8.0517,26.70,10474,294625,3018,0.0000,0.0000,0.004008,0.3500,9,0.3500,0.0500,0.4000
1,134,33.2877,7.7015,48.38,10474,300093,3022,0.0000,0.0000,0.004008,0.4000,8,0.4000,0.0000,0.4000
1,135,7.6670,8.2678,28.94,10474,296009,3050,0.0000,0.0000,0.004008,0.4000,9,0.4000,0.0500,0.4500
1,136,23.1904,7.9841,34.38,10474,290727,2988,0.0000,0.0000,0.004008,0.4500,8,0.4500,0.0000,0.4500
1,137,33.0972,7.9759,36.21,10474,299769,3084,0.0000,0.0000,0.004008,0.4500,9,0.4500,-0.0500,0.4000
1,138,29.6656,8.3374,38.32,10474,303241,3130,0.0000,0.0000,0.004008,0.4000,8,0.4000,0.0000,0.4000
1,139,28.0081,8.1644,39.80,10474,308827,3190,0.0000,0.0000,0.004008,0.4000,9,0.4000,-0.0500,0.3500
1,140,26.5851,8.2432,165.17,10474,299485,3074,0.0000,0.0000,0.004008,0.3500,9,0.3500,0.0000,0.3500
1,141,25.1560,8.0660,24.69,10474,297263,3017,0.0000,0.0000,0.004008,0.3500,10,0.3500,0.0500,0.4000
1,142,35.2703,7.9053,47.68,10474,303433,3049,0.0000,0.0000,0.004008,0.4000,10,0.4000,0.0000,0.4000
1,143,8.5164,7.9503,165.17,10474,298771,3038,0.0000,0.0000,0.004008,0.4000,11,0.4000,0.0500,0.4500
1,144,23.7076,8.1725,25.92,10474,303197,3118,0.0000,0.0000,0.004008,0.4500,11,0.4500,0.0000,0.4500
