episode,step,cpu_frame_time,gpu_frame_time,fps,visible_renderer_count,triangle_count,draw_call_count,camera_speed,camera_rotation_speed,avg_screen_coverage,previous_bias,recent_lod_switch_count,lod_bias_before_action,action_delta,lod_bias_after_action
2,0,36.6232,7.1711,45.96,8593,267950,1746,0.0000,0.0000,0.004869,1.0000,0,1.0000,0.0000,1.0000
2,1,9.0386,7.6196,22.35,8593,379882,2392,4.4762,13.8423,0.004869,1.0000,1,1.0000,0.0500,1.0500
2,2,24.0325,8.1019,165.17,8593,373403,2461,16.6875,166.3471,0.004869,1.0500,1,1.0500,0.0000,1.0500
2,3,34.2120,8.1695,165.17,8593,404274,2540,0.0000,119.6049,0.004869,1.0500,2,1.0500,0.0500,1.1000
2,4,43.3393,8.6405,17.50,8593,425649,2570,5.2410,8.5059,0.004869,1.1000,2,1.1000,0.0000,1.1000
2,5,23.4770,8.4275,43.17,8593,427889,2615,4.3318,26.9488,0.004869,1.1000,3,1.1000,-0.0500,1.0500
2,6,14.3253,8.6794,82.27,8593,441322,2640,8.2686,54.5622,0.004869,1.0500,3,1.0500,0.0000,1.0500
2,7,17.0436,8.7132,56.54,8593,433953,2661,5.7416,62.6323,0.004869,1.0500,4,1.0500,0.0500,1.1000
2,8,16.9707,8.7613,32.90,8593,433466,2706,3.2893,21.1895,0.004869,1.1000,4,1.1000,0.0000,1.1000
2,9,31.2813,8.7040,38.32,8593,455249,2745,3.8481,43.1813,0.004869,1.1000,5,1.1000,-0.0500,1.0500
2,10,17.6352,8.9006,25.06,8593,461141,2777,5.0393,29.8298,0.004869,1.0500,5,1.0500,0.0000,1.0500
2,11,30.8091,8.9641,111.64,8593,459921,2825,11.1992,46.9537,0.004869,1.0500,6,1.0500,-0.0500,1.0000
2,12,31.8794,8.9856,40.75,8593,467641,2833,4.1135,29.5078,0.004869,1.0000,6,1.0000,0.0000,1.0000
2,13,12.1023,9.1720,25.62,8593,465516,2785,5.1843,20.7244,0.004869,1.0000,7,1.0000,-0.0500,0.9500
2,14,26.0372,9.1034,165.17,8593,467429,2847,0.0000,46.2073,0.004869,0.9500,7,0.9500,0.0000,0.9500
2,15,38.2442,8.8996,38.42,8593,474898,2829,7.5878,9.3706,0.004869,0.9500,8,0.9500,0.0500,1.0000
2,16,15.0647,8.8883,32.66,8593,467675,2900,3.2771,10.4983,0.004869,1.0000,8,1.0000,0.0000,1.0000
2,17,16.4793,9.2334,165.17,8593,469068,2896,0.0000,26.1389,0.004869,1.0000,9,1.0000,-0.0500,0.9500
2,18,14.8576,8.9313,165.17,8593,485079,2959,16.5639,13.0694,0.004869,0.9500,9,0.9500,0.0000,0.9500
2,19,32.6241,8.9764,40.76,8593,482194,2962,4.0691,8.2223,0.004869,0.9500,10,0.9500,0.0500,1.0000
2,20,6.9804,9.0092,34.35,8593,463391,2951,3.4850,7.5658,0.004869,1.0000,10,1.0000,0.0000,1.0000
2,21,19.0397,9.1453,36.25,8593,472941,2785,7.2437,10.1408,0.004869,1.0000,11,1.0000,-0.0500,0.9500
2,22,29.6774,8.9405,38.29,8593,459051,2741,3.7787,17.6675,0.004869,0.9500,11,0.9500,0.0000,0.9500
2,23,29.6206,8.6764,25.46,8593,481052,2836,5.0447,21.0342,0.004869,0.9500,12,0.9500,-0.0500,0.9000
2,24,27.4964,8.7439,165.17,8593,458661,2835,0.0000,53.0883,0.004869,0.9000,12,0.9000,0.0000,0.9000
2,25,34.6720,8.4285,39.02,8593,470089,2817,7.8057,26.0199,0.004869,0.9000,13,0.9000,0.0500,0.9500
2,26,10.9463,8.6180,33.11,8593,461060,2797,3.2928,38.1020,0.004869,0.9500,13,0.9500,0.0000,0.9500
2,27,21.7172,8.5576,117.85,8593,476623,2870,0.0000,59.7107,0.004869,0.9500,14,0.9500,-0.0500,0.9000
2,28,31.2726,8.6968,49.01,8593,474617,2754,4.7632,33.0787,0.004869,0.9000,14,0.9000,0.0000,0.9000
2,29,12.9781,8.8269,30.07,12394,465509,2883,5.9628,31.5027,0.004237,0.9000,15,0.9000,0.0500,0.9500
2,30,18.5471,8.8863,18.35,12394,482954,2899,5.4046,10.5933,0.004237,0.9500,14,0.9500,0.0000,0.9500
2,31,32.3251,8.8259,165.17,12394,469811,2877,0.0000,102.4931,0.004237,0.9500,15,0.9500,-0.0500,0.9000
2,32,26.4558,8.8730,21.41,12394,478449,2857,2.5543,2.0751,0.004237,0.9000,14,0.9000,0.0000,0.9000
2,33,56.9237,8.9272,49.21,12394,484039,2872,1.9609,3.8941,0.004237,0.9000,15,0.9000,-0.0500,0.8500
2,34,21.7257,9.1208,30.96,12394,489830,2896,0.0000,0.0000,0.004237,0.8500,14,0.8500,0.0000,0.8500
2,35,17.0007,9.1484,50.01,12394,475450,2841,0.0000,0.0000,0.004237,0.8500,15,0.8500,-0.0500,0.8000
2,36,29.2984,9.2529,54.74,12394,459535,2673,0.0000,0.0000,0.004237,0.8000,14,0.8000,0.0000,0.8000
2,37,21.7092,9.0962,31.37,12394,479313,2881,0.0000,1.7550,0.004237,0.8000,15,0.8000,0.0500,0.8500
2,38,21.2191,9.3901,35.33,12394,481481,2908,0.0000,0.0000,0.004237,0.8500,14,0.8500,0.0000,0.8500
2,39,33.0693,9.2273,37.29,12394,472557,2817,0.0000,0.0000,0.004237,0.8500,15,0.8500,-0.0500,0.8000
2,40,27.9199,8.8760,39.08,12394,478391,2828,0.0000,0.0000,0.004237,0.8000,14,0.8000,0.0000,0.8000
2,41,26.6241,8.8955,165.17,12394,482211,2899,0.0000,0.0000,0.004237,0.8000,15,0.8000,-0.0500,0.7500
2,42,25.9416,8.9866,24.59,12394,466503,2878,0.0000,0.0000,0.004237,0.7500,14,0.7500,0.0000,0.7500
2,43,35.2810,9.0860,46.00,12394,474875,2915,0.0000,0.0000,0.004237,0.7500,15,0.7500,-0.0500,0.7000
2,44,10.1707,9.9379,165.17,12394,495269,2999,0.0000,0.0000,0.004237,0.7000,14,0.7000,0.0000,0.7000
2,45,22.9883,8.5125,25.54,12394,476669,2942,0.0000,0.0000,0.004237,0.7000,15,0.7000,0.0500,0.7500
2,46,34.5265,9.7280,47.68,12394,475199,2928,0.0000,0.0000,0.004237,0.7500,14,0.7500,0.0000,0.7500
2,47,8.2865,9.6481,165.17,12394,468976,2910,0.0000,0.0000,0.004237,0.7500,15,0.7500,0.0500,0.8000
2,48,23.3698,9.8335,26.61,12394,465445,2718,0.0000,0.0000,0.004237,0.8000,15,0.8000,0.0000,0.8000
2,49,33.4042,9.3747,48.53,12394,460155,2905,0.0000,0.0000,0.004237,0.8000,15,0.8000,-0.0500,0.7500
2,50,7.6897,9.8284,28.70,12394,456970,2870,0.0000,23.5714,0.004237,0.7500,15,0.7500,0.0000,0.7500
2,51,23.4994,9.6737,34.62,12394,471334,2908,0.0000,86.4736,0.004237,0.7500,15,0.7500,-0.0500,0.7000
2,52,33.1223,9.5099,36.55,12394,448631,2713,0.0000,136.7902,0.004237,0.7000,15,0.7000,0.0000,0.7000
2,53,30.3549,9.0153,38.50,12394,438418,2662,0.0000,163.5250,0.004237,0.7000,15,0.7000,-0.0500,0.6500
