episode,step,cpu_frame_time,gpu_frame_time,fps,visible_renderer_count,triangle_count,draw_call_count,camera_speed,camera_rotation_speed,avg_screen_coverage,previous_bias,recent_lod_switch_count,lod_bias_before_action,action_delta,lod_bias_after_action
7,0,28.7041,6.5454,34.66,4666,219325,1619,0.0000,0.0000,0.009100,1.0000,0,1.0000,0.0000,1.0000
7,1,30.8286,6.5946,36.64,4666,434188,2474,0.0000,0.0000,0.009100,1.0000,1,1.0000,-0.0500,0.9500
7,2,29.3267,8.3988,38.52,4666,435037,2499,0.0000,0.0000,0.009100,0.9500,1,0.9500,0.0000,0.9500
7,3,27.8422,8.4685,40.10,4666,450609,2520,0.0000,0.0000,0.009100,0.9500,2,0.9500,-0.0500,0.9000
7,4,26.3236,8.5238,165.17,4666,451685,2486,0.0000,0.0000,0.009100,0.9000,2,0.9000,0.0000,0.9000
7,5,24.9181,8.6958,25.57,4666,446137,2496,0.0000,0.0000,0.009100,0.9000,3,0.9000,0.0500,0.9500
7,6,34.3242,8.6702,47.56,4666,454153,2478,0.0000,0.0000,0.009100,0.9500,3,0.9500,0.0000,0.9500
7,7,8.1810,9.1361,165.17,4666,457062,2527,0.0000,0.0000,0.009100,0.9500,4,0.9500,0.0500,1.0000
7,8,23.7014,8.1265,26.78,4666,432971,2454,0.0000,0.0000,0.009100,1.0000,4,1.0000,0.0000,1.0000
7,9,33.2328,8.6231,50.31,4666,438273,2506,0.0000,14.8948,0.009100,1.0000,5,1.0000,-0.0500,0.9500
7,10,7.8604,8.9805,30.29,4666,451447,2533,0.0000,16.6507,0.009100,0.9500,5,0.9500,0.0000,0.9500
7,11,22.4770,8.7439,34.60,4666,451960,2523,0.0000,17.6395,0.009100,0.9500,6,0.9500,-0.0500,0.9000
7,12,32.1496,8.6139,36.53,4666,448546,2482,0.0000,13.4037,0.009100,0.9000,6,0.9000,0.0000,0.9000
7,13,28.9871,8.7521,38.48,4666,462595,2540,0.0000,9.9824,0.009100,0.9000,7,0.9000,-0.0500,0.8500
7,14,27.9039,8.9108,40.01,4666,467799,2553,0.0000,6.5272,0.009100,0.8500,7,0.8500,0.0000,0.8500
7,15,26.0178,8.8832,165.17,4666,495859,2584,0.0000,21.6732,0.009100,0.8500,8,0.8500,-0.0500,0.8000
7,16,25.2488,9.3860,25.59,4666,500382,2590,0.0000,0.0000,0.009100,0.8000,8,0.8000,0.0000,0.8000
7,17,34.0211,8.8177,47.87,4666,518913,2612,0.0000,0.0000,0.009100,0.8000,9,0.8000,-0.0500,0.7500
7,18,8.4674,9.3297,165.17,4666,513214,2619,0.0000,6.5347,0.009100,0.7500,9,0.7500,0.0000,0.7500
7,19,23.3725,9.1075,26.70,4666,514303,2618,0.0000,0.0000,0.009100,0.7500,10,0.7500,0.0500,0.8000
7,20,34.1247,8.9231,50.02,4666,517694,2613,0.0000,0.0000,0.009100,0.8000,10,0.8000,0.0000,0.8000
7,21,6.6468,9.4341,29.22,4666,496884,2515,0.0000,0.0000,0.009100,0.8000,11,0.8000,0.0500,0.8500
7,22,22.5189,9.0644,34.51,4666,482908,2370,0.0000,0.0000,0.009100,0.8500,11,0.8500,0.0000,0.8500
7,23,33.4138,8.4521,36.36,4666,483675,2391,0.0000,0.0000,0.009100,0.8500,12,0.8500,-0.0500,0.8000
7,24,28.9045,8.5176,38.37,4666,478609,2338,0.0000,0.0000,0.009100,0.8000,12,0.8000,0.0000,0.8000
7,25,27.9938,8.2668,45.12,4666,480382,2363,0.0000,0.0000,0.009100,0.8000,13,0.8000,-0.0500,0.7500
7,26,26.4707,7.2673,47.30,4666,473953,2329,0.0000,0.0000,0.009100,0.7500,13,0.7500,0.0000,0.7500
7,27,19.1738,7.0595,165.17,4666,464846,2349,0.0000,0.0000,0.009100,0.7500,14,0.7500,0.0500,0.8000
7,28,21.6222,7.2663,33.14,4666,472864,2285,0.0000,0.0000,0.009100,0.8000,14,0.8000,0.0000,0.8000
7,29,36.7778,6.7707,40.68,4666,422852,2299,0.0000,0.0000,0.009100,0.8000,15,0.8000,-0.0500,0.7500
7,30,3.3418,7.1383,65.23,4788,472337,2286,0.0000,0.0000,0.008314,0.7500,15,0.7500,0.0000,0.7500
7,31,16.9553,7.0318,28.68,4788,467558,2296,0.0000,0.0000,0.008314,0.7500,15,0.7500,0.0500,0.8000
7,32,22.9302,7.0830,34.46,4788,472614,2282,0.0000,0.0000,0.008314,0.8000,15,0.8000,0.0000,0.8000
7,33,33.1136,7.1496,36.36,4788,469319,2250,0.0000,0.0000,0.008314,0.8000,15,0.8000,-0.0500,0.7500
7,34,28.5667,6.9028,38.39,4788,448142,2231,0.0000,0.0000,0.008314,0.7500,15,0.7500,0.0000,0.7500
7,35,27.9342,6.8362,45.00,4788,454029,2298,0.0000,0.0000,0.008314,0.7500,15,0.7500,-0.0500,0.7000
7,36,26.5027,6.8731,47.16,4788,394200,2247,0.0000,0.0000,0.008314,0.7000,15,0.7000,0.0000,0.7000
7,37,21.7124,6.1819,33.08,4788,399690,2204,0.0000,0.0000,0.008314,0.7500,15,0.7500,0.0000,0.7500
