episode,step,cpu_frame_time,gpu_frame_time,fps,visible_renderer_count,triangle_count,draw_call_count,camera_speed,camera_rotation_speed,avg_screen_coverage,previous_bias,recent_lod_switch_count,lod_bias_before_action,action_delta,lod_bias_after_action
1,0,35.5757,4.4165,31.93,14317,321458,2492,0.0000,0.0000,0.003706,1.0000,0,1.0000,0.0000,1.0000
1,1,3.5121,4.6889,33.61,14317,500782,3854,0.0000,0.0000,0.003706,1.0000,0,1.0000,0.0000,1.0000
1,2,27.7641,5.7313,35.30,14317,495022,3783,0.0000,0.0000,0.003706,1.0000,0,1.0000,0.0000,1.0000
1,3,30.3006,5.7580,37.33,14317,491859,3857,0.0000,0.0000,0.003706,1.0000,0,1.0000,0.0000,1.0000
1,4,28.7611,5.7938,39.07,14317,483977,3825,0.0000,0.0000,0.003706,1.0000,0,1.0000,0.0000,1.0000
1,5,27.2784,5.8716,47.15,14317,493107,3819,0.0000,0.0000,0.003706,1.0000,0,1.0000,0.0000,1.0000
1,6,25.7872,6.0262,165.17,14317,486293,3826,0.0000,0.0000,0.003706,1.0000,0,1.0000,0.0000,1.0000
1,7,18.6765,6.3642,33.04,14317,499189,3854,0.0000,0.0000,0.003706,1.0000,0,1.0000,0.0000,1.0000
1,8,36.8024,5.9853,40.40,14317,504682,3856,0.0000,0.0000,0.003706,1.0000,1,1.0000,-0.0500,0.9500
1,9,3.9352,6.5178,67.98,14317,513147,3875,0.0000,0.0000,0.003706,0.9500,1,0.9500,0.0000,0.9500
1,10,16.6215,5.9249,30.58,14317,497163,3801,0.0000,0.0000,0.003706,0.9500,1,0.9500,0.0000,0.9500
1,11,22.2656,6.2894,30.44,14317,491263,3858,0.0000,0.0000,0.003706,0.9500,1,0.9500,0.0000,0.9500
1,12,31.0089,6.2945,35.49,14317,496658,3845,0.0000,0.0000,0.003706,0.9500,1,0.9500,0.0000,0.9500
1,13,32.3807,6.0703,37.57,14317,491217,3812,0.0000,0.0000,0.003706,0.9500,1,0.9500,0.0000,0.9500
1,14,28.3920,6.3898,44.96,14317,497268,3820,0.0000,0.0000,0.003706,0.9500,1,0.9500,0.0000,0.9500
1,15,27.0857,5.8839,47.09,14317,503372,3834,0.0000,0.0000,0.003706,0.9500,1,0.9500,0.0000,0.9500
1,16,21.7008,5.9628,32.98,14317,464507,3713,0.0000,0.0000,0.003706,1.0000,2,1.0000,0.0000,1.0000
1,17,36.9019,5.8993,31.60,14317,491195,3844,0.0000,0.0000,0.003706,1.0000,2,1.0000,0.0000,1.0000
1,18,4.6670,6.1071,33.16,14317,495238,3864,0.0000,0.0000,0.003706,1.0000,2,1.0000,0.0000,1.0000
1,19,27.1974,6.1317,34.90,14317,495130,3841,0.0000,0.0000,0.003706,1.0000,2,1.0000,0.0000,1.0000
1,20,30.6210,5.6596,36.83,14317,470876,3596,0.0000,0.0000,0.003706,1.0000,2,1.0000,0.0000,1.0000
1,21,29.6027,5.3207,38.71,14317,483393,3624,0.0000,0.0000,0.003706,1.0000,2,1.0000,0.0000,1.0000
1,22,27.2383,5.0668,40.27,14317,472011,3552,0.0000,0.0000,0.003706,1.0000,2,1.0000,0.0000,1.0000
1,23,27.0912,5.6054,27.79,14317,481026,3616,0.0000,0.0000,0.003706,1.0000,3,1.0000,-0.0500,0.9500
1,24,23.9929,5.3340,34.11,14317,482383,3629,0.0000,0.0000,0.003706,0.9500,3,0.9500,0.0000,0.9500
1,25,33.9875,5.4620,35.95,14317,480262,3596,0.0000,0.0000,0.003706,0.9500,3,0.9500,0.0000,0.9500
1,26,30.2130,5.4723,38.00,14317,477451,3549,0.0000,0.0000,0.003706,0.9500,3,0.9500,0.0000,0.9500
1,27,28.3014,5.3842,39.57,14317,474497,3579,0.0000,0.0000,0.003706,0.9500,3,0.9500,0.0000,0.9500
1,28,26.8184,5.3535,47.36,14317,459335,3560,0.0000,0.0000,0.003706,0.9500,3,0.9500,0.0000,0.9500
1,29,25.2742,5.3699,165.17,14317,473228,3571,0.0000,0.0000,0.003706,0.9500,3,0.9500,0.0000,0.9500
1,30,36.6587,5.3084,40.62,14317,466596,3552,0.0000,0.0000,0.003706,0.9500,3,0.9500,0.0000,0.9500
1,31,3.8804,5.1313,67.00,14317,446916,3395,0.0000,0.0000,0.003706,0.9500,3,0.9500,0.0000,0.9500
1,32,24.7928,5.3842,29.74,14317,448087,3441,0.0000,0.0000,0.003706,0.9500,4,0.9500,0.0500,1.0000
1,33,14.1917,5.0627,35.90,14317,430041,3430,0.0000,0.0000,0.003706,1.0000,4,1.0000,0.0000,1.0000
1,34,31.6197,5.0207,37.92,14317,482138,3632,0.0000,0.0000,0.003706,1.0000,4,1.0000,0.0000,1.0000
1,35,27.9569,5.4630,39.51,14317,472300,3601,0.0000,0.0000,0.003706,1.0000,4,1.0000,0.0000,1.0000
1,36,26.8636,5.4016,165.17,14317,480495,3568,0.0000,0.0000,0.003706,1.0000,3,1.0000,0.0000,1.0000
1,37,25.3892,5.3821,24.62,14317,479836,3589,0.0000,0.0000,0.003706,1.0000,3,1.0000,0.0000,1.0000
1,38,35.3096,5.4180,45.70,14317,482294,3620,0.0000,0.0000,0.003706,1.0000,3,1.0000,0.0000,1.0000
