episode,step,cpu_frame_time,gpu_frame_time,fps,visible_renderer_count,triangle_count,draw_call_count,camera_speed,camera_rotation_speed,avg_screen_coverage,previous_bias,recent_lod_switch_count,lod_bias_before_action,action_delta,lod_bias_after_action
6,0,19.0613,6.3232,93.18,17883,917057,6980,0.0000,0.0000,0.003229,1.0000,0,1.0000,0.0000,1.0000
6,1,14.5837,7.5837,64.09,17883,1001560,7624,6.4114,0.0000,0.003229,1.0000,0,1.0000,0.0000,1.0000
6,2,10.7266,7.6329,84.98,17883,992395,7526,0.0000,0.0000,0.003229,1.0000,0,1.0000,0.0000,1.0000
6,3,32.9133,8.0671,84.42,17883,999271,7660,8.4252,0.0000,0.003229,1.0000,0,1.0000,0.0000,1.0000
6,4,15.7605,7.9360,100.22,17883,1001251,7597,9.9800,0.0000,0.003229,1.0000,1,1.0000,0.0500,1.0500
6,5,11.4917,7.9821,51.87,17883,994238,7590,5.1900,0.0000,0.003229,1.0500,1,1.0500,0.0000,1.0500
6,6,12.1621,8.0056,50.59,17883,1007030,7597,5.0574,0.0000,0.003229,1.0500,1,1.0500,0.0000,1.0500
6,7,9.6590,8.1152,90.91,17883,1008734,7615,0.0000,10.1736,0.003229,1.0500,1,1.0500,0.0000,1.0500
6,8,19.5555,8.1275,46.75,17883,1014349,7617,4.6810,3.2036,0.003229,1.0500,1,1.0500,0.0000,1.0500
6,9,19.8624,7.7476,83.57,17865,1014647,7629,8.2836,8.0993,0.003730,1.0500,1,1.0500,0.0000,1.0500
6,10,10.7594,8.1971,30.88,17865,997386,7592,3.0896,0.0000,0.003730,1.0500,2,1.0500,0.0500,1.1000
6,11,21.8355,8.0005,65.11,17865,1012551,7583,6.5527,0.0000,0.003730,1.1000,2,1.1000,0.0000,1.1000
6,12,11.7782,7.8510,97.85,17865,1017736,7594,9.7739,0.0000,0.003730,1.1000,2,1.1000,0.0000,1.1000
6,13,32.3619,8.2207,87.50,17865,1033331,7635,0.0000,0.0000,0.003730,1.1000,2,1.1000,0.0000,1.1000
6,14,15.0709,7.9299,52.01,17865,1018271,7553,5.1925,0.0000,0.003730,1.1000,2,1.1000,0.0000,1.1000
6,15,10.1460,7.8490,88.49,17865,1020161,7565,8.8457,0.0000,0.003730,1.1000,2,1.1000,0.0000,1.1000
6,16,11.4232,8.1848,49.19,17865,1028423,7610,4.9211,0.0000,0.003730,1.1000,3,1.1000,0.0500,1.1500
6,17,19.3616,8.0159,76.84,17865,1015315,7620,0.0000,0.0000,0.003730,1.1500,3,1.1500,0.0000,1.1500
6,18,11.1655,8.2452,44.81,17865,1020055,7576,8.9613,0.0000,0.003730,1.1500,3,1.1500,0.0000,1.1500
6,19,20.4641,7.8121,90.81,17820,1026389,7576,0.0000,10.7791,0.004192,1.1500,3,1.1500,0.0000,1.1500
6,20,12.8784,8.2473,30.77,17820,1013692,7600,6.1375,4.8689,0.004192,1.1500,3,1.1500,0.0000,1.1500
6,21,22.6573,7.5694,58.70,17820,1033689,7640,5.8498,28.7294,0.004192,1.1500,3,1.1500,0.0000,1.1500
6,22,11.8502,7.9012,98.25,17820,1027043,7630,0.0000,39.4516,0.004192,1.1500,4,1.1500,0.0500,1.2000
6,23,32.8603,8.1060,82.14,17820,1028359,7688,8.2118,23.4343,0.004192,1.2000,4,1.2000,0.0000,1.2000
6,24,16.0679,8.2002,82.57,17820,1009241,7652,0.0000,31.5048,0.004192,1.2000,4,1.2000,0.0000,1.2000
6,25,10.1389,7.7824,51.76,17820,1012023,7679,5.1738,24.9111,0.004192,1.2000,4,1.2000,0.0000,1.2000
6,26,11.8342,8.0415,74.86,17820,1033887,7737,7.4840,55.4878,0.004192,1.2000,4,1.2000,0.0000,1.2000
6,27,12.2666,8.0241,48.84,17820,1030482,7748,4.8838,22.3663,0.004192,1.2000,4,1.2000,0.0000,1.2000
6,28,19.5332,7.7107,77.62,17820,1024678,7753,7.7633,48.1695,0.004192,1.2000,5,1.2000,0.0500,1.2500
6,29,13.1756,7.8428,44.50,18253,1028228,7800,4.4495,9.6426,0.003960,1.2500,5,1.2500,0.0000,1.2500
6,30,20.3156,8.2002,32.97,18253,1035575,7860,3.2969,7.1445,0.003960,1.2500,5,1.2500,0.0000,1.2500
6,31,12.8491,7.6800,77.07,18253,734031,5089,7.7083,0.0000,0.003960,1.2500,5,1.2500,0.0000,1.2500
6,32,22.6177,6.1512,91.44,18253,730663,5076,0.0000,0.0000,0.003960,1.2500,5,1.2500,0.0000,1.2500
6,33,30.2951,6.1901,147.93,18253,741885,5091,14.7935,0.0000,0.003960,1.2500,5,1.2500,0.0000,1.2500
6,34,12.6868,6.0611,60.72,18253,723875,5062,6.0778,0.0000,0.003960,1.2500,5,1.2500,0.0500,1.3000
6,35,10.9392,5.9750,59.99,18253,718411,5014,0.0000,0.0000,0.003960,1.3000,5,1.3000,0.0000,1.3000
6,36,6.7558,6.1215,58.47,18253,722804,5188,5.8464,0.0000,0.003960,1.3000,5,1.3000,0.0000,1.3000
6,37,16.4848,6.2761,56.63,18253,741756,5202,5.6851,0.0000,0.003960,1.3000,5,1.3000,0.0000,1.3000
6,38,16.6712,6.2454,55.35,18253,734019,5212,5.5348,0.0000,0.003960,1.3000,5,1.3000,0.0000,1.3000
6,39,17.1034,6.1676,53.70,18010,729947,5201,5.4141,0.0000,0.003667,1.3000,5,1.3000,0.0000,1.3000
6,40,18.0300,5.8327,65.63,18010,750425,5185,6.6013,0.0000,0.003667,1.3500,5,1.3500,0.0000,1.3500
6,41,18.6238,6.0867,97.58,18010,793723,5365,9.8537,0.0000,0.003667,1.3500,5,1.3500,0.0000,1.3500
6,42,29.8183,6.5464,121.20,18010,778807,5372,0.0000,8.3057,0.003667,1.3500,5,1.3500,0.0000,1.3500
6,43,15.6409,6.2198,60.16,18010,785743,5379,6.0557,3.3661,0.003667,1.3500,5,1.3500,0.0000,1.3500
6,44,10.3009,6.4532,58.33,18010,777118,5379,5.9969,10.3211,0.003667,1.3500,5,1.3500,0.0000,1.3500
6,45,8.2069,6.5157,56.86,18010,789565,5410,5.6952,12.3210,0.003667,1.3500,5,1.3500,0.0500,1.4000
6,46,16.7189,6.7881,55.33,18010,769144,5397,5.7020,12.1880,0.003667,1.4000,5,1.4000,0.0000,1.4000
6,47,17.3301,6.8403,81.52,18010,792159,5575,0.0000,26.0049,0.003667,1.4000,5,1.4000,0.0000,1.4000
6,48,17.3349,6.4133,52.38,18081,791739,5551,5.2553,11.5378,0.003190,1.4000,5,1.4000,0.0000,1.4000
6,49,17.7529,6.5618,32.46,18081,803851,5583,6.5457,10.9744,0.003190,1.4000,5,1.4000,0.0000,1.4000
6,50,12.4846,6.4727,73.34,18081,784856,5631,0.0000,29.3066,0.003190,1.4000,5,1.4000,0.0000,1.4000
6,51,19.3272,6.4594,98.74,18081,800430,5646,12.6936,8.7358,0.003190,1.4000,5,1.4000,0.0500,1.4500
6,52,31.0204,6.6406,103.70,18081,802576,5651,0.0000,8.2055,0.003190,1.4500,5,1.4500,0.0000,1.4500
6,53,13.1873,6.5034,60.08,18081,825923,5813,7.3734,4.1174,0.003190,1.4500,5,1.4500,0.0000,1.4500
6,54,10.0724,6.6939,58.16,18081,818237,5833,6.7341,3.9854,0.003190,1.4500,5,1.4500,0.0000,1.4500
6,55,9.7460,6.8096,56.52,18081,811034,5823,7.1145,0.0000,0.003190,1.4500,5,1.4500,0.0000,1.4500
