episode,step,cpu_frame_time,gpu_frame_time,fps,visible_renderer_count,triangle_count,draw_call_count,camera_speed,camera_rotation_speed,avg_screen_coverage,previous_bias,recent_lod_switch_count,lod_bias_before_action,action_delta,lod_bias_after_action
2,0,16.5657,5.2521,60.04,1941,552320,1548,0.0000,0.0000,0.020980,1.0000,0,1.0000,0.0000,1.0000
2,1,16.6840,5.1579,60.00,1941,634641,1700,5.9189,0.0000,0.020980,1.0000,0,1.0000,0.0000,1.0000
2,2,16.7344,5.4743,59.67,1941,621372,1658,5.9399,0.0000,0.020980,1.0000,0,1.0000,0.0000,1.0000
2,3,16.3125,5.3320,60.27,1941,621611,1655,6.0560,0.0000,0.020980,1.0000,0,1.0000,0.0000,1.0000
2,4,16.6471,5.6003,60.09,1941,618884,1676,0.0000,0.0000,0.020980,1.0000,0,1.0000,0.0000,1.0000
2,5,16.7879,5.5562,59.80,1941,622816,1648,6.0674,0.0000,0.020980,1.0000,1,1.0000,0.0500,1.0500
2,6,16.5862,5.3606,60.16,1941,631668,1675,6.1689,0.0000,0.020980,1.0500,1,1.0500,0.0000,1.0500
2,7,16.6354,5.5276,60.08,1941,626162,1646,6.2362,0.0000,0.020980,1.0500,1,1.0500,0.0000,1.0500
2,8,16.7166,5.3924,59.98,1941,644130,1657,6.3183,0.0000,0.020980,1.0500,1,1.0500,0.0000,1.0500
2,9,16.6226,5.5613,60.02,1941,641530,1627,4.5073,0.0000,0.020980,1.0500,1,1.0500,0.0000,1.0500
2,10,16.6462,5.2613,59.94,1836,645272,1635,0.0000,0.0000,0.025366,1.0500,1,1.0500,0.0000,1.0500
2,11,16.6774,5.2173,60.03,1836,625412,1611,6.0040,0.0000,0.025366,1.0500,2,1.0500,0.0500,1.1000
2,12,16.6617,5.2818,60.06,1836,640695,1611,6.0116,0.0000,0.025366,1.1000,2,1.1000,0.0000,1.1000
2,13,16.6846,5.2337,60.09,1836,656548,1604,6.0112,0.0000,0.025366,1.1000,2,1.1000,0.0000,1.1000
2,14,16.6406,5.4661,59.94,1836,655992,1610,5.9942,0.0000,0.025366,1.1000,2,1.1000,0.0000,1.1000
2,15,16.6670,5.7620,59.96,1836,634707,1576,5.9979,0.0000,0.025366,1.1000,2,1.1000,0.0000,1.1000
2,16,16.6378,5.2214,59.93,1836,660602,1601,0.0000,0.0000,0.025366,1.1000,2,1.1000,0.0000,1.1000
2,17,16.6863,5.1958,60.01,1836,649368,1577,6.0027,0.0000,0.025366,1.1000,3,1.1000,0.0500,1.1500
2,18,17.1145,5.0749,60.02,1836,645052,1567,6.0014,3.3581,0.025366,1.1500,3,1.1500,0.0000,1.1500
2,19,16.6924,5.2296,59.95,1836,633500,1556,5.9969,11.8596,0.025366,1.1500,3,1.1500,0.0000,1.1500
2,20,16.7613,5.0575,60.08,1740,646280,1550,6.0076,22.7986,0.027989,1.1500,3,1.1500,0.0000,1.1500
2,21,16.5190,5.1302,60.08,1740,645638,1567,6.0046,22.7994,0.027989,1.1500,3,1.1500,0.0000,1.1500
2,22,16.5127,5.2900,59.94,1740,651700,1573,0.0000,17.9057,0.027989,1.1500,3,1.1500,0.0000,1.1500
2,23,16.8897,5.1538,59.96,1740,644948,1580,5.9778,14.2337,0.027989,1.1500,4,1.1500,0.0500,1.2000
2,24,16.3440,5.2562,59.86,1740,664188,1586,5.9835,12.9718,0.027989,1.2000,4,1.2000,0.0000,1.2000
