episode,step,cpu_frame_time,gpu_frame_time,fps,visible_renderer_count,triangle_count,draw_call_count,camera_speed,camera_rotation_speed,avg_screen_coverage,previous_bias,recent_lod_switch_count,lod_bias_before_action,action_delta,lod_bias_after_action
4,0,6.1372,5.1169,82.55,22542,514704,5021,0.0000,0.0000,0.001052,1.0000,0,1.0000,0.0000,1.0000
4,1,6.2753,6.8598,165.17,22542,686886,6106,0.0000,0.0000,0.001052,1.0000,0,1.0000,0.0000,1.0000
4,2,34.3563,7.1485,33.02,22542,159286,1436,0.0000,0.0000,0.001052,1.0000,0,1.0000,0.0000,1.0000
4,3,6.1080,6.2351,41.26,22542,705101,6283,0.0000,0.0000,0.001052,1.0000,0,1.0000,0.0000,1.0000
4,4,6.5455,6.3150,55.01,22542,705857,6324,0.0000,0.0000,0.001052,1.0000,0,1.0000,0.0000,1.0000
4,5,18.0534,6.3201,165.17,22542,719959,6367,0.0000,0.0000,0.001052,1.0000,0,1.0000,0.0000,1.0000
4,6,6.0162,6.3181,55.00,22542,695619,6203,0.0000,0.0000,0.001052,1.0000,1,1.0000,0.0500,1.0500
4,7,17.8527,6.6345,82.53,22542,707593,6291,0.0000,0.0000,0.001052,1.0500,1,1.0000,0.0500,1.0500
4,8,12.0433,6.4276,82.49,22542,733612,6376,0.0000,0.0000,0.001052,1.0500,1,1.0500,0.0000,1.0500
4,9,12.0878,6.0467,82.49,22542,713951,6377,0.0000,0.0000,0.001052,1.0500,1,1.0500,0.0000,1.0500
4,10,6.1755,6.5966,82.52,22542,725732,6340,0.0000,0.0000,0.001052,1.0500,1,1.0500,0.0000,1.0500
4,11,12.0541,6.9304,82.51,22542,738221,6395,0.0000,0.0000,0.001052,1.0500,1,1.0500,0.0000,1.0500
4,12,12.0732,6.8854,165.17,22542,725804,6353,0.0000,0.0000,0.001052,1.0500,1,1.0500,0.0000,1.0500
4,13,12.1384,6.6068,82.48,22542,735771,6460,0.0000,0.0000,0.001052,1.0500,2,1.0500,0.0500,1.1000
4,14,12.1077,6.6959,165.17,22542,736594,6400,0.0000,0.0000,0.001052,1.1000,2,1.0500,0.0500,1.1000
4,15,6.3207,6.6755,55.00,22542,724016,6345,0.0000,0.0000,0.001052,1.1000,2,1.1000,0.0000,1.1000
4,16,17.8815,6.6857,82.49,22542,739072,6376,0.0000,0.0000,0.001052,1.1000,2,1.1000,0.0000,1.1000
4,17,6.1884,6.6345,82.51,22542,725728,6337,0.0000,0.0000,0.001052,1.1000,2,1.1000,0.0000,1.1000
4,18,12.0336,6.5636,82.51,22542,746418,6494,0.0000,0.0000,0.001052,1.1000,2,1.1000,0.0000,1.1000
4,19,12.1394,6.4143,165.17,22542,730338,6377,0.0000,0.0000,0.001052,1.1000,2,1.1000,0.0000,1.1000
4,20,12.1165,6.6253,82.49,22542,736451,6370,0.0000,0.0000,0.001052,1.1000,2,1.1000,0.0000,1.1000
4,21,12.0836,6.3304,165.17,22542,732454,6396,0.0000,0.0000,0.001052,1.1000,3,1.1000,0.0500,1.1500
4,22,6.1527,6.6775,54.99,22542,739474,6363,0.0000,0.0000,0.001052,1.1500,3,1.1000,0.0500,1.1500
4,23,12.0173,6.3744,165.17,22542,735022,6278,0.0000,0.0000,0.001052,1.1500,3,1.1500,0.0000,1.1500
4,24,12.2835,6.3959,82.48,22542,752535,6473,0.0000,0.0000,0.001052,1.1500,3,1.1500,0.0000,1.1500
4,25,6.3324,6.5198,27.50,22542,762074,6550,0.0000,0.0000,0.001052,1.1500,3,1.1500,0.0000,1.1500
4,26,17.9088,6.6335,165.17,22542,734230,6393,0.0000,0.0000,0.001052,1.1500,3,1.1500,0.0000,1.1500
4,27,6.3463,6.3816,165.17,22542,739441,6359,0.0000,0.0000,0.001052,1.1500,3,1.1500,0.0000,1.1500
4,28,37.9659,6.5772,32.99,22542,742672,6501,0.0000,0.0000,0.001052,1.1500,4,1.1500,0.0500,1.2000
4,29,16.0875,6.4543,82.51,22542,736508,6505,0.0000,0.0000,0.001052,1.2000,4,1.1500,0.0500,1.2000
4,30,6.0447,6.4594,82.50,22542,791782,6735,0.0000,0.0000,0.001052,1.2000,4,1.2000,0.0000,1.2000
4,31,12.1959,6.7738,165.17,22542,783824,6639,0.0000,0.0000,0.001052,1.2000,4,1.2000,0.0000,1.2000
4,32,12.0193,6.2915,82.48,22542,768958,6642,0.0000,0.0000,0.001052,1.2000,4,1.2000,0.0000,1.2000
4,33,5.7922,6.2935,54.99,22542,782044,6690,0.0000,0.0000,0.001052,1.2000,3,1.2000,0.0000,1.2000
4,34,6.1566,6.2669,54.99,22542,759615,6348,0.0000,0.0000,0.001052,1.2000,3,1.2000,0.0000,1.2000
4,35,18.0952,5.9464,165.17,22542,747082,6333,0.0000,0.0000,0.001052,1.2000,3,1.2000,0.0000,1.2000
4,36,6.2689,5.8522,82.47,22542,748630,6093,0.0000,0.0000,0.001052,1.2000,4,1.2000,0.0500,1.2500
4,37,11.9060,5.9013,165.17,22542,770827,6181,0.0000,0.0000,0.001052,1.2500,4,1.2000,0.0500,1.2500
4,38,6.1137,5.8788,82.47,22542,829133,5290,0.0000,0.0000,0.001052,1.2500,4,1.2500,0.0000,1.2500
4,39,12.0576,6.0314,82.50,22542,823314,6547,0.0000,0.0000,0.001052,1.2500,4,1.2500,0.0000,1.2500
4,40,6.1746,5.7989,165.17,22542,829016,6585,0.0000,0.0000,0.001052,1.2500,3,1.2500,0.0000,1.2500
4,41,12.0178,5.9382,82.47,22542,838012,6301,0.0000,0.0000,0.001052,1.2500,3,1.2500,0.0000,1.2500
4,42,6.2729,6.0938,54.99,22542,830039,6568,0.0000,0.0000,0.001052,1.2500,3,1.2500,0.0000,1.2500
4,43,11.8758,5.7457,165.17,22542,831532,6610,0.0000,0.0000,0.001052,1.2500,4,1.2500,0.0500,1.3000
4,44,6.7504,6.0795,82.46,22542,815910,6526,0.0000,0.0000,0.001052,1.3000,4,1.2500,0.0500,1.3000
4,45,6.0733,6.3293,54.98,22542,864039,6777,0.0000,0.0000,0.001052,1.3000,4,1.3000,0.0000,1.3000
4,46,6.4397,6.0979,82.46,22542,850066,6777,0.0000,0.0000,0.001052,1.3000,3,1.3000,0.0000,1.3000
4,47,17.5965,6.1286,55.00,22542,866265,6780,0.0000,0.0000,0.001052,1.3000,3,1.3000,0.0000,1.3000
4,48,6.4109,6.0764,165.17,22542,845132,6736,0.0000,0.0000,0.001052,1.3000,3,1.3000,0.0000,1.3000
4,49,17.7134,5.9187,82.46,22542,864461,6563,0.0000,0.0000,0.001052,1.3000,4,1.3000,0.0500,1.3500
4,50,8.0831,6.0774,165.17,22542,877510,6896,0.0000,0.0000,0.001052,1.3500,4,1.3000,0.0500,1.3500
4,51,38.5063,6.4471,20.62,22542,880308,6953,0.0000,0.0000,0.001052,1.3500,3,1.3000,0.0500,1.3500
4,52,16.1256,6.4389,165.17,22542,883857,6907,0.0000,0.0000,0.001052,1.3500,3,1.3000,0.0500,1.3500
4,53,8.2282,6.4246,82.47,22542,879624,6899,0.0000,0.0000,0.001052,1.3500,3,1.3500,0.0000,1.3500
4,54,15.9590,6.6744,165.17,22542,884611,6521,0.0000,0.0000,0.001052,1.3500,3,1.3500,0.0000,1.3500
4,55,6.7877,6.1573,54.98,22542,876780,6739,0.0000,0.0000,0.001052,1.3500,4,1.3500,0.0500,1.4000
4,56,6.8012,6.3273,54.99,22542,914141,7046,0.0000,0.0000,0.001052,1.4000,4,1.3500,0.0500,1.4000
4,57,7.4326,6.4389,54.99,22542,923735,7123,0.0000,0.0000,0.001052,1.4000,4,1.3500,0.0500,1.4000
4,58,16.7992,6.5103,165.17,22542,929167,7031,0.0000,0.0000,0.001052,1.4000,4,1.3500,0.0500,1.4000
4,59,6.8365,6.5341,54.98,22542,917355,7139,0.0000,0.0000,0.001052,1.4000,3,1.4000,0.0000,1.4000
4,60,7.1866,6.5434,54.98,22542,910535,7066,0.0000,0.0000,0.001052,1.4000,3,1.4000,0.0000,1.4000
4,61,17.0616,6.3826,82.50,22542,908866,7066,0.0000,0.0000,0.001052,1.4000,3,1.4000,0.0000,1.4000
4,62,6.2299,6.4963,82.50,22542,909204,7032,0.0000,0.0000,0.001052,1.4000,4,1.4000,0.0500,1.4500
4,63,11.9320,6.3058,82.50,22542,899666,7026,0.0000,0.0000,0.001052,1.4500,4,1.4000,0.0500,1.4500
4,64,12.1822,6.3805,82.50,22542,959314,7323,0.0000,0.0000,0.001052,1.4500,4,1.4500,0.0000,1.4500
4,65,12.1187,6.6877,82.50,22542,925372,7201,0.0000,0.0000,0.001052,1.4500,4,1.4500,0.0000,1.4500
4,66,12.2200,6.4154,82.50,22542,938163,7234,0.0000,0.0000,0.001052,1.4500,3,1.4500,0.0000,1.4500
4,67,12.0070,6.5853,82.49,22542,943726,7261,0.0000,0.0000,0.001052,1.4500,3,1.4500,0.0000,1.4500
4,68,12.1684,6.2280,82.50,22542,956705,7361,0.0000,0.0000,0.001052,1.4500,3,1.4500,0.0000,1.4500
4,69,12.0557,6.4625,82.50,22542,946925,7278,0.0000,0.0000,0.001052,1.4500,3,1.4500,0.0000,1.4500
4,70,12.5537,6.2218,82.50,22542,958256,7245,0.0000,0.0000,0.001052,1.4500,4,1.4500,0.0500,1.5000
4,71,12.1020,6.3201,82.50,22542,933469,7217,0.0000,0.0000,0.001052,1.5000,4,1.4500,0.0500,1.5000
4,72,11.7230,6.0795,82.50,22542,954373,7221,0.0000,0.0000,0.001052,1.5000,4,1.5000,0.0000,1.5000
4,73,12.3253,6.3324,82.50,22542,936753,7373,0.0000,0.0000,0.001052,1.5000,4,1.5000,0.0000,1.5000
4,74,12.2009,6.4696,82.50,22542,948095,7423,0.0000,0.0000,0.001052,1.5000,3,1.5000,0.0000,1.5000
4,75,12.0823,6.5577,165.17,22542,948898,7399,0.0000,0.0000,0.001052,1.5000,3,1.5000,0.0000,1.5000
4,76,38.0214,6.5147,23.56,22542,11568,161,0.0000,0.0000,0.001052,1.5000,3,1.5000,0.0000,1.5000
4,77,16.8521,6.1921,55.00,22542,959973,6689,0.0000,0.0000,0.001052,1.5000,3,1.5000,0.0000,1.5000
4,78,7.3231,6.4819,165.17,22542,945763,7416,0.0000,0.0000,0.001052,1.5000,4,1.5000,0.0500,1.5500
4,79,22.9272,6.4266,165.17,22542,954843,7393,0.0000,0.0000,0.001052,1.5500,4,1.5000,0.0500,1.5500
4,80,12.0626,6.3457,41.23,22542,970943,7665,0.0000,0.0000,0.001052,1.5500,3,1.5500,0.0000,1.5500
4,81,12.2270,6.4614,165.17,22542,954471,7548,0.0000,0.0000,0.001052,1.5500,3,1.5500,0.0000,1.5500
4,82,11.5898,6.5249,165.17,22542,977654,6692,0.0000,0.0000,0.001052,1.5500,3,1.5500,0.0000,1.5500
4,83,12.2116,6.4666,165.17,22542,969158,7559,0.0000,0.0000,0.001052,1.5500,3,1.5500,0.0000,1.5500
4,84,12.0383,6.0529,165.17,22542,958644,7581,0.0000,0.0000,0.001052,1.5500,3,1.5500,0.0000,1.5500
4,85,12.0725,6.1757,165.17,22542,954490,7500,0.0000,0.0000,0.001052,1.5500,3,1.5500,0.0000,1.5500
4,86,12.1121,6.3764,165.17,22542,944105,7480,0.0000,0.0000,0.001052,1.5500,4,1.5500,0.0500,1.6000
4,87,12.1681,6.4809,165.17,22542,976321,7622,0.0000,0.0000,0.001052,1.6000,4,1.5500,0.0500,1.6000
4,88,12.0420,6.4492,165.17,22542,981396,7746,0.0000,0.0000,0.001052,1.6000,4,1.6000,0.0000,1.6000
4,89,12.1416,6.4532,165.17,22542,987724,7688,0.0000,0.0000,0.001052,1.6000,4,1.6000,0.0000,1.6000
4,90,12.1453,6.4358,165.17,22542,978224,7610,0.0000,0.0000,0.001052,1.6000,3,1.6000,0.0000,1.6000
4,91,12.1176,6.7000,165.17,22542,991582,7710,0.0000,0.0000,0.001052,1.6000,3,1.6000,0.0000,1.6000
4,92,12.1094,6.5065,11.75,22542,984699,7546,0.0000,0.0000,0.001052,1.6000,3,1.6000,0.0000,1.6000
4,93,12.1124,6.5116,82.99,22542,1005068,7784,0.0000,0.0000,0.001052,1.6000,3,1.6000,0.0000,1.6000
4,94,12.3888,6.5833,82.73,22542,995964,7726,0.0000,0.0000,0.001052,1.6000,4,1.6000,0.0500,1.6500
4,95,11.9447,6.4686,82.58,22542,967303,7606,0.0000,0.0000,0.001052,1.6500,4,1.6000,0.0500,1.6500
4,96,12.0298,6.4358,82.61,22542,988454,7800,0.0000,0.0000,0.001052,1.6500,4,1.6500,0.0000,1.6500
4,97,12.0936,6.6506,82.41,22542,974066,7824,0.0000,0.0000,0.001052,1.6500,4,1.6500,0.0000,1.6500
