episode,step,cpu_frame_time,gpu_frame_time,fps,visible_renderer_count,triangle_count,draw_call_count,camera_speed,camera_rotation_speed,avg_screen_coverage,previous_bias,recent_lod_switch_count,lod_bias_before_action,action_delta,lod_bias_after_action
2,0,8.3816,7.1762,165.17,5803,298368,1923,0.0000,0.0000,0.010828,1.0000,0,1.0000,0.0000,1.0000
2,1,23.7681,7.3769,26.60,5803,526812,2682,2.1301,0.0000,0.010828,1.0000,0,1.0000,0.0000,1.0000
2,2,33.8969,8.0609,48.48,5803,519057,2643,1.9412,5.4249,0.010828,1.0000,0,1.0000,0.0000,1.0000
2,3,7.3665,8.1203,28.83,5803,522089,2643,2.3081,2.5506,0.010828,1.0000,0,1.0000,0.0000,1.0000
2,4,23.7009,8.1828,34.43,5803,520729,2715,1.3754,0.0000,0.010828,1.0000,0,1.0000,0.0000,1.0000
2,5,33.0102,8.1705,36.32,5803,515355,2669,2.9255,3.5197,0.010828,1.0000,0,1.0000,0.0000,1.0000
2,6,29.5893,7.4844,38.32,5803,501061,2601,1.5417,4.5485,0.010828,1.0000,0,1.0000,0.0000,1.0000
2,7,28.0853,7.5540,39.88,5803,500751,2614,1.5953,3.1561,0.010828,1.0000,1,1.0000,-0.0500,0.9500
2,8,26.7264,7.7097,165.17,5803,496043,2592,0.0000,14.6120,0.010828,0.9500,1,1.0000,-0.0500,0.9500
2,9,24.7717,7.6257,24.77,5803,531602,2633,1.9790,0.0000,0.010828,0.9500,1,0.9500,0.0000,0.9500
2,10,35.1475,7.9596,47.61,5803,543984,2678,3.8484,3.7675,0.010828,0.9500,1,0.9500,0.0000,0.9500
2,11,8.2439,8.0835,165.17,5803,554453,2690,0.0000,11.3184,0.010828,0.9500,1,0.9500,0.0000,0.9500
2,12,23.8024,7.4332,25.95,5803,536187,2657,2.0831,0.0000,0.010828,0.9500,1,0.9500,0.0000,0.9500
2,13,34.2640,7.6052,48.31,5803,545362,2661,1.9325,2.7032,0.010828,0.9500,1,0.9500,0.0000,0.9500
2,14,7.8927,8.1121,28.83,5803,549903,2611,2.3176,1.6130,0.010828,0.9500,1,0.9500,0.0000,0.9500
2,15,22.9232,8.0169,34.36,5803,550869,2676,1.3771,0.0000,0.010828,0.9500,2,0.9500,-0.0500,0.9000
2,16,33.5065,7.7650,36.20,5803,551496,2631,1.4434,0.0000,0.010828,0.9000,2,0.9500,-0.0500,0.9000
2,17,29.9484,7.6493,38.26,5803,550437,2649,3.0722,0.0000,0.010828,0.9000,2,0.9000,0.0000,0.9000
2,18,27.5991,7.7896,39.77,5803,553973,2604,1.5907,0.0000,0.010828,0.9000,2,0.9000,0.0000,0.9000
2,19,26.5402,7.5418,165.17,5803,532222,2588,0.0000,0.0000,0.010828,0.9000,2,0.9000,0.0000,0.9000
2,20,25.0564,7.4598,25.55,5803,552289,2623,2.0604,0.0000,0.010828,0.9000,2,0.9000,0.0000,0.9000
2,21,34.3283,7.3564,47.77,5803,562820,2630,1.9043,0.0000,0.010828,0.9000,2,0.9000,0.0000,0.9000
2,22,8.0652,7.5622,165.17,5803,496886,2051,6.7393,0.0000,0.010828,0.9000,2,0.9000,0.0000,0.9000
2,23,23.7629,6.5516,25.99,5803,498408,2378,1.0394,0.0000,0.010828,0.9000,3,0.9000,0.0500,0.9500
2,24,33.9568,6.3826,48.24,5803,499704,2366,1.9313,0.0000,0.010828,0.9500,3,0.9000,0.0500,0.9500
2,25,7.9270,6.6519,28.93,5803,495884,2387,0.0000,4.7196,0.010828,0.9500,3,0.9500,0.0000,0.9500
2,26,23.3530,6.6509,34.40,5803,477180,2384,0.0000,4.5142,0.010828,0.9500,3,0.9500,0.0000,0.9500
2,27,33.4589,6.5526,36.26,5803,494764,2418,0.0000,4.3044,0.010828,0.9500,3,0.9500,0.0000,0.9500
2,28,29.6037,6.6202,38.30,5803,481984,2372,0.0000,4.7920,0.010828,0.9500,3,0.9500,0.0000,0.9500
2,29,27.8300,6.5178,43.81,5803,489794,2340,0.0000,2.4515,0.010828,0.9500,3,0.9500,0.0000,0.9500
2,30,26.6389,6.5987,45.85,5570,474646,2366,0.0000,0.0000,0.012098,0.9500,3,0.9500,0.0000,0.9500
2,31,19.5526,6.5720,48.06,5570,485936,2406,0.0000,2.6892,0.012098,0.9500,4,0.9500,0.0500,1.0000
2,32,22.2698,6.5690,165.17,5570,473304,2407,0.0000,34.5784,0.012098,1.0000,4,0.9500,0.0500,1.0000
2,33,21.3740,6.5290,33.68,5570,529266,2437,0.0000,0.0000,0.012098,1.0000,4,1.0000,0.0000,1.0000
2,34,36.1784,6.7072,31.79,5570,523684,2286,0.0000,7.8559,0.012098,1.0000,4,1.0000,0.0000,1.0000
2,35,3.7794,7.2735,33.46,5570,538150,2480,0.0000,7.6040,0.012098,1.0000,4,1.0000,0.0000,1.0000
2,36,28.3105,6.6191,35.20,5570,537202,2542,0.0000,6.5316,0.012098,1.0000,4,1.0000,0.0000,1.0000
2,37,29.9004,6.7625,37.15,5570,548538,2577,0.0000,6.0603,0.012098,1.0000,3,1.0000,0.0000,1.0000
2,38,28.8645,6.6816,38.96,5570,540584,2537,0.0000,4.6247,0.012098,1.0000,3,1.0000,0.0000,1.0000
2,39,27.7282,6.3949,45.29,5570,531318,2551,0.0000,0.0000,0.012098,1.0000,4,1.0000,-0.0500,0.9500
2,40,26.0435,6.5823,47.46,5570,534746,2528,0.0000,3.2523,0.012098,0.9500,4,1.0000,-0.0500,0.9500
2,41,18.8341,6.5382,165.17,5570,522074,2437,0.0000,0.0000,0.012098,0.9500,4,0.9500,0.0000,0.9500
2,42,21.4337,6.7205,33.26,5570,544004,2494,0.0000,0.0000,0.012098,0.9500,4,0.9500,0.0000,0.9500
2,43,36.9056,6.1286,31.76,5570,546196,2549,0.0000,0.0000,0.012098,0.9500,4,0.9500,0.0000,0.9500
2,44,4.1430,6.8782,33.35,5570,545728,2525,0.0000,0.0000,0.012098,0.9500,4,0.9500,0.0000,0.9500
2,45,27.2705,6.4553,35.11,5570,539472,2512,0.0000,0.0000,0.012098,0.9500,3,0.9500,0.0000,0.9500
2,46,30.4188,6.3836,37.06,5570,544180,2520,0.0000,0.0000,0.012098,0.9500,3,0.9500,0.0000,0.9500
2,47,28.7135,6.3918,38.90,5570,559078,2547,0.0000,2.1766,0.012098,0.9500,4,0.9500,-0.0500,0.9000
2,48,27.8355,6.1594,46.89,5570,465014,2296,0.0000,4.5445,0.012098,0.9000,4,0.9500,-0.0500,0.9000
2,49,26.0716,5.7272,49.19,5570,470386,2352,0.0000,2.7522,0.012098,0.9000,4,0.9000,0.0000,0.9000
