episode,step,cpu_frame_time,gpu_frame_time,fps,visible_renderer_count,triangle_count,draw_call_count,camera_speed,camera_rotation_speed,avg_screen_coverage,previous_bias,recent_lod_switch_count,lod_bias_before_action,action_delta,lod_bias_after_action
3,0,16.6500,4.1257,59.82,8477,349026,3346,0.0000,0.0000,0.003325,1.0000,0,1.0000,0.0000,1.0000
3,1,21.3008,4.3182,45.69,8477,364270,3518,4.5682,6.2618,0.003325,1.0000,0,1.0000,0.0000,1.0000
3,2,12.1189,4.2414,87.63,8477,357512,3544,8.7639,15.8883,0.003325,1.0000,0,1.0000,0.0000,1.0000
3,3,16.6713,3.9721,60.02,8477,347830,3468,6.0015,4.7490,0.003325,1.0000,0,1.0000,0.0000,1.0000
3,4,21.7798,4.5281,59.88,8477,355973,3511,5.9884,6.2677,0.003325,1.0000,1,1.0000,0.0500,1.0500
3,5,11.3418,4.3500,60.04,8477,361232,3486,0.0000,6.2852,0.003325,1.0500,1,1.0500,0.0000,1.0500
3,6,17.0110,4.3500,60.03,8477,356550,3475,6.0030,5.8179,0.003325,1.0500,1,1.0500,0.0000,1.0500
3,7,16.5058,4.3090,60.02,8477,358732,3424,6.0024,6.7169,0.003325,1.0500,1,1.0500,0.0000,1.0500
3,8,16.6211,4.3971,59.94,8477,348830,3404,5.9938,4.7429,0.003325,1.0500,1,1.0500,0.0000,1.0500
3,9,16.9056,4.3756,59.99,8477,355372,3485,5.9988,6.7129,0.003325,1.0500,1,1.0500,0.0000,1.0500
3,10,16.5059,4.4360,60.04,8532,357310,3459,6.0034,7.1259,0.003505,1.0500,2,1.0500,0.0500,1.1000
3,11,16.5594,4.2486,46.12,8532,353410,3452,4.6117,7.2983,0.003505,1.1000,2,1.1000,0.0000,1.1000
3,12,16.5954,4.2711,86.32,8532,357401,3422,0.0000,22.1332,0.003505,1.1000,2,1.1000,0.0000,1.1000
3,13,16.9639,4.1196,59.92,8532,351937,3475,5.9920,9.1815,0.003505,1.1000,2,1.1000,0.0000,1.1000
3,14,21.4700,4.6346,59.84,8532,356456,3441,5.9837,9.1690,0.003505,1.1000,2,1.1000,0.0000,1.1000
3,15,11.7838,4.3991,59.96,8532,354963,3474,5.9964,10.6090,0.003505,1.1000,2,1.1000,0.0000,1.1000
3,16,16.6681,4.2854,60.02,8532,352155,3472,6.0029,12.1095,0.003505,1.1000,3,1.1000,0.0500,1.1500
