episode,step,cpu_frame_time,gpu_frame_time,fps,visible_renderer_count,triangle_count,draw_call_count,camera_speed,camera_rotation_speed,avg_screen_coverage,previous_bias,recent_lod_switch_count,lod_bias_before_action,action_delta,lod_bias_after_action
5,0,16.1710,4.6899,59.75,8052,562869,3370,0.0000,0.0000,0.005476,1.0000,0,1.0000,0.0000,1.0000
5,1,16.6494,6.0518,79.08,8052,649367,4145,0.0000,0.0000,0.005476,1.0000,0,1.0000,0.0000,1.0000
5,2,16.8278,5.9474,66.23,8052,651834,4244,0.0000,0.0000,0.005476,1.0000,0,1.0000,0.0000,1.0000
5,3,22.0784,6.3232,60.04,8052,677014,4309,0.0000,0.0000,0.005476,1.0000,0,1.0000,0.0000,1.0000
5,4,12.6584,6.0938,59.80,8052,669075,4275,0.0000,0.0000,0.005476,1.0000,0,1.0000,0.0000,1.0000
5,5,15.1904,6.3693,60.26,8052,658606,4251,0.0000,0.0000,0.005476,1.0000,0,1.0000,0.0000,1.0000
5,6,16.5697,6.4573,59.88,8052,647914,4237,0.0000,0.0000,0.005476,1.0000,1,1.0000,0.0500,1.0500
5,7,16.8885,6.4430,59.24,8052,655436,4255,0.0000,0.0000,0.005476,1.0500,1,1.0500,0.0000,1.0500
5,8,16.4228,6.6427,60.69,8052,654596,4280,0.0000,0.0000,0.005476,1.0500,1,1.0500,0.0000,1.0500
5,9,16.8188,6.5772,60.01,8052,658590,4266,0.0000,0.0000,0.005476,1.0500,1,1.0500,0.0000,1.0500
5,10,16.7668,6.5925,60.16,8052,645457,4241,0.0000,0.0000,0.005476,1.0500,1,1.0500,0.0000,1.0500
