reference_id,renderer_count,thresholds
Train_Stage_2:84010,1,0.04853339
Train_Stage_2:83910,1,0.04853339
Train_Stage_2:81626,1,0.04853339
Train_Stage_2:66766,8,0.5004538;0.2513981;0.09721777;0.01
Train_Stage_2:82896,1,0.04853339
Train_Stage_2:81946,1,0.04853339
Train_Stage_2:81814,1,0.04853339
Train_Stage_2:83384,1,0.04853339
Train_Stage_2:79440,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:83050,1,0.04853339
Train_Stage_2:73208,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:82582,1,0.04853339
Train_Stage_2:78474,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:52590,1,0.05128473
Train_Stage_2:89824,3,0.4969922;0.2028568;0.04585641
Train_Stage_2:71344,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:67226,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:84918,1,0.05128473
Train_Stage_2:6572,2,0.25;0.01
Train_Stage_2:71482,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:72112,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:67706,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:84774,1,0.05128473
Train_Stage_2:78098,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:76646,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:82704,1,0.04853339
Train_Stage_2:6126,2,0.25;0.01
Train_Stage_2:44726,1,0.04853339
Train_Stage_2:45174,1,0.04853339
Train_Stage_2:82974,1,0.04853339
Train_Stage_2:54488,1,0.05128473
Train_Stage_2:71572,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:84856,1,0.05128473
Train_Stage_2:82856,1,0.04853339
Train_Stage_2:69792,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:46572,1,0.04853339
Train_Stage_2:69334,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:74320,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:72550,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:50436,8,0.7008223;0.4031928;0.1988268;0.01
Train_Stage_2:78164,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:74308,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:47204,3,0.5017237;0.1998479;0.01
Train_Stage_2:6312,2,0.25;0.01
Train_Stage_2:46796,1,0.04853339
Train_Stage_2:85248,1,0.05128473
Train_Stage_2:47352,3,0.5017237;0.1998479;0.01
Train_Stage_2:53612,1,0.05128473
Train_Stage_2:79096,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:80874,1,0.008408552
Train_Stage_2:84590,1,0.05128473
Train_Stage_2:75356,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:44560,1,0.04853339
Train_Stage_2:85744,1,0.05128473
Train_Stage_2:74644,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:75062,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:86330,1,0.05128473
Train_Stage_2:85854,1,0.05128473
Train_Stage_2:72642,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:75504,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:80946,1,0.008408552
Train_Stage_2:69164,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:47228,3,0.5017237;0.1998479;0.01
Train_Stage_2:82562,1,0.04853339
Train_Stage_2:47202,3,0.5017237;0.1998479;0.01
Train_Stage_2:72978,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:67700,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:53376,1,0.05128473
Train_Stage_2:70090,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:77696,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:44446,1,0.04853339
Train_Stage_2:52744,1,0.05128473
Train_Stage_2:6662,2,0.25;0.01
Train_Stage_2:81230,1,0.1005739
Train_Stage_2:70196,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:73028,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:69666,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:52990,1,0.05128473
Train_Stage_2:85266,1,0.05128473
Train_Stage_2:83672,1,0.04853339
Train_Stage_2:53488,1,0.05128473
Train_Stage_2:83656,1,0.04853339
Train_Stage_2:82060,1,0.04853339
Train_Stage_2:67132,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:73690,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:6162,2,0.25;0.01
Train_Stage_2:73848,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:70312,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:76946,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:46324,1,0.04853339
Train_Stage_2:71750,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:69010,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:75928,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:75908,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:74580,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:53346,1,0.05128473
Train_Stage_2:53802,1,0.05128473
Train_Stage_2:82564,1,0.04853339
Train_Stage_2:83858,1,0.04853339
Train_Stage_2:80822,1,0.008408552
Train_Stage_2:66814,8,0.5004538;0.2513981;0.09721777;0.01
Train_Stage_2:76904,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:6930,2,0.25;0.01
Train_Stage_2:79408,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:68862,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:47022,3,0.5017237;0.1998479;0.01
Train_Stage_2:68800,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:69860,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:72536,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:70862,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:46858,1,0.04853339
Train_Stage_2:68310,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:80564,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:68020,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:72534,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:10218,1,0.006301761
Train_Stage_2:67832,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:52352,1,0.05128473
Train_Stage_2:71578,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:78184,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:89948,3,0.4969922;0.2028568;0.04585641
Train_Stage_2:55504,8,0.7008223;0.3989935;0.2047914;0.01
Train_Stage_2:84244,1,0.05128473
Train_Stage_2:84108,1,0.05128473
Train_Stage_2:72924,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:9982,1,0.006301761
Train_Stage_2:72284,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:73762,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:77240,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:69894,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:44844,1,0.04853339
Train_Stage_2:76640,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:82748,1,0.04853339
Train_Stage_2:77742,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:89840,3,0.4969922;0.2028568;0.04585641
Train_Stage_2:74376,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:45408,1,0.04853339
Train_Stage_2:86002,1,0.05128473
Train_Stage_2:45944,1,0.04853339
Train_Stage_2:52360,1,0.05128473
Train_Stage_2:71092,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:65570,1,0.005165694
Train_Stage_2:71632,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:74620,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:10340,1,0.006301761
Train_Stage_2:79198,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:74416,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:52008,1,0.05128473
Train_Stage_2:47526,3,0.5017237;0.1998479;0.01
Train_Stage_2:44964,1,0.04853339
Train_Stage_2:78158,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:6602,2,0.25;0.01
Train_Stage_2:83092,1,0.04853339
Train_Stage_2:86308,1,0.05128473
Train_Stage_2:85722,1,0.05128473
Train_Stage_2:72134,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:47070,3,0.5017237;0.1998479;0.01
Train_Stage_2:89506,3,0.4969922;0.2028568;0.04585641
Train_Stage_2:46058,1,0.04853339
Train_Stage_2:9930,1,0.006301761
Train_Stage_2:46990,3,0.5017237;0.1998479;0.01
Train_Stage_2:85440,1,0.05128473
Train_Stage_2:84958,1,0.05128473
Train_Stage_2:46938,3,0.5017237;0.1998479;0.01
Train_Stage_2:70128,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:67844,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:71440,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:53428,1,0.05128473
Train_Stage_2:77620,3,0.5017237;0.1968613;0.04989976
