episode,step,cpu_frame_time,gpu_frame_time,fps,visible_renderer_count,triangle_count,draw_call_count,camera_speed,camera_rotation_speed,avg_screen_coverage,previous_bias,recent_lod_switch_count,floor_dwell_score,ceiling_dwell_score,lod_bias_before_action,raw_action_delta,action_delta,lod_bias_after_action,selected_target_ms,target_source,scene_target_ready,collection_mode,gpu_ms_at_target_lock
3,0,13.1825,7.1199,86.14,9548,433955,4125,0.0000,0.0000,0.003026,1.0000,0,0.0000,0.0000,1.4362,-0.0500,0.0000,1.0000,6.0621,null_scene_warmup,1,null_rl,6.0621
3,1,14.4658,6.9990,88.23,9548,432549,4104,0.0000,0.0000,0.003026,0.9756,1,0.0000,0.0000,1.0000,-0.0500,0.0000,0.9756,6.0621,null_scene_warmup,1,null_rl,6.0621
3,2,13.6278,7.0564,91.36,9548,435306,4134,0.0000,0.0000,0.003026,0.9756,1,0.0000,0.0000,1.0000,-0.0500,0.0000,0.9756,6.0621,null_scene_warmup,1,null_rl,6.0621
3,3,14.1049,6.9622,97.32,9548,425436,4043,0.0000,0.0000,0.003026,0.9756,1,0.0000,0.0000,1.0000,-0.0500,0.0000,0.9756,6.0621,null_scene_warmup,1,null_rl,6.0621
3,4,13.1320,6.9489,97.21,9548,425782,4066,0.0000,0.0000,0.003026,0.9756,1,0.0000,0.0000,1.0000,-0.0500,0.0000,0.9756,6.0621,null_scene_warmup,1,null_rl,6.0621
3,5,13.6932,6.4297,83.64,9548,427066,4099,0.0000,0.0000,0.003026,0.9756,1,0.0000,0.0000,1.0000,-0.0500,0.0000,0.9756,6.0621,null_scene_warmup,1,null_rl,6.0621
3,6,13.2750,6.2372,90.85,9548,421044,4108,0.0000,0.0000,0.003026,0.9756,1,0.0000,0.0000,1.0000,-0.0500,0.0000,0.9756,6.0621,null_scene_warmup,1,null_rl,6.0621
3,7,12.2946,5.1988,85.71,9548,365837,3468,0.0000,0.0000,0.003026,0.9756,1,0.0000,0.0000,1.0000,0.0500,0.0000,0.9756,6.0621,null_scene_warmup,1,null_rl,6.0621
3,8,11.8628,5.1671,88.55,9548,350976,3271,0.0000,4.9545,0.003026,0.9756,0,0.0000,0.0000,1.0000,0.0500,0.0000,0.9756,6.0621,null_scene_warmup,1,null_rl,6.0621
3,9,12.9027,5.2122,83.33,9465,344255,3259,0.0000,26.7834,0.003114,0.9756,0,0.0000,0.0000,1.0000,0.0500,0.0000,0.9756,6.0621,null_scene_warmup,1,null_rl,6.0621
3,10,12.0326,5.1118,84.62,9202,363695,3337,0.0000,25.4976,0.003300,0.9756,1,0.0000,0.0000,0.9756,0.0500,0.0244,1.0000,6.0621,null_scene_warmup,1,null_rl,6.0621
3,11,11.9702,5.2306,83.72,9058,357641,3320,0.0000,11.4738,0.003412,1.0000,1,0.0000,0.0000,0.9756,0.0500,0.0000,1.0000,6.0621,null_scene_warmup,1,null_rl,6.0621
3,12,11.5454,5.2756,96.78,9037,348444,3326,0.0000,0.0000,0.003437,1.0000,1,0.0000,0.0000,0.9756,0.0500,0.0000,1.0000,6.0621,null_scene_warmup,1,null_rl,6.0621
3,13,14.2738,5.1272,86.61,9037,358141,3387,0.0000,0.0000,0.003437,1.0000,1,0.0000,0.0000,0.9756,0.0500,0.0000,1.0000,6.0621,null_scene_warmup,1,null_rl,6.0621
3,14,11.8041,5.2623,90.17,9026,360468,3353,0.0000,6.1790,0.003446,1.0000,1,0.0000,0.0000,0.9756,0.0500,0.0000,1.0000,6.0621,null_scene_warmup,1,null_rl,6.0621
3,15,12.2881,5.2756,89.30,8994,326164,3077,0.0000,7.0659,0.003517,1.0000,1,0.0000,0.0000,0.9756,0.0500,0.0000,1.0000,6.0621,null_scene_warmup,1,null_rl,6.0621
3,16,12.1892,5.2808,88.63,8926,344520,3108,0.0000,12.1468,0.003570,1.0000,1,0.0000,0.0000,0.9756,0.0500,0.0000,1.0000,6.0621,null_scene_warmup,1,null_rl,6.0621
3,17,12.0019,5.2705,92.76,8830,346108,3290,0.0000,6.3568,0.003701,1.0000,1,0.0000,0.0000,0.9756,0.0500,0.0000,1.0000,6.0621,null_scene_warmup,1,null_rl,6.0621
3,18,10.8031,5.2521,90.58,8799,342571,3161,0.0000,5.0682,0.003729,1.0000,1,0.0000,0.0000,0.9756,0.0500,0.0000,1.0000,6.0621,null_scene_warmup,1,null_rl,6.0621
3,19,12.2993,5.0237,94.33,8780,333126,2968,0.0000,0.0000,0.003757,1.0000,1,0.0000,0.0000,0.9756,0.0500,0.0000,1.0000,6.0621,null_scene_warmup,1,null_rl,6.0621
3,20,12.4553,5.2787,86.28,8759,348023,3096,0.0000,0.0000,0.003781,1.0000,1,0.0000,0.0000,0.9756,0.0500,0.0000,1.0000,6.0621,null_scene_warmup,1,null_rl,6.0621
3,21,12.3327,5.2019,90.46,8724,341775,3258,0.0000,7.1581,0.003834,1.0000,1,0.0000,0.0000,0.9756,0.0500,0.0000,1.0000,6.0621,null_scene_warmup,1,null_rl,6.0621
3,22,12.5720,5.0401,89.49,8703,339090,3086,0.0000,0.0000,0.003870,1.0000,2,0.0000,0.0000,1.0000,0.0500,0.0489,1.0488,6.0621,null_scene_warmup,1,null_rl,6.0621
3,23,12.1397,5.0483,91.75,8706,340127,3186,0.0000,0.0000,0.003873,1.0488,1,0.0000,0.0000,1.0000,0.0500,0.0000,1.0488,6.0621,null_scene_warmup,1,null_rl,6.0621
3,24,11.8267,5.0842,87.73,8706,345116,3254,0.0000,0.0000,0.003873,1.0488,1,0.0000,0.0000,1.0000,0.0500,0.0000,1.0488,6.0621,null_scene_warmup,1,null_rl,6.0621
3,25,12.2199,4.9347,100.42,8706,354829,3295,0.0000,0.0000,0.003873,1.0488,1,0.0000,0.0000,1.0000,0.0500,0.0000,1.0488,6.0621,null_scene_warmup,1,null_rl,6.0621
3,26,12.5507,5.0719,96.96,8706,340219,3131,0.0000,0.0000,0.003873,1.0488,1,0.0000,0.0000,1.0000,0.0500,0.0000,1.0488,6.0621,null_scene_warmup,1,null_rl,6.0621
3,27,14.7787,5.2429,84.41,8706,367822,3405,0.0000,0.0000,0.003873,1.0988,1,0.0000,0.0000,1.0488,0.0500,0.0000,1.0988,6.0621,null_scene_warmup,1,null_rl,6.0621
3,28,12.1571,5.2081,89.30,8706,363710,3359,0.0000,0.0000,0.003873,1.0988,1,0.0000,0.0000,1.0488,0.0500,0.0000,1.0988,6.0621,null_scene_warmup,1,null_rl,6.0621
3,29,13.8879,5.2204,88.92,8706,352115,3180,0.0000,0.0000,0.003873,1.0988,1,0.0000,0.0000,1.0488,0.0500,0.0000,1.0988,6.0621,null_scene_warmup,1,null_rl,6.0621
3,30,12.2368,5.2869,92.57,8706,356525,3266,0.0000,0.0000,0.003874,1.1488,1,0.0000,0.0000,1.0988,0.0500,0.0000,1.1488,6.0621,null_scene_warmup,1,null_rl,6.0621
3,31,12.1129,5.2726,94.40,8706,352511,3312,0.0000,0.0000,0.003874,1.1488,1,0.0000,0.0000,1.0988,0.0500,0.0000,1.1488,6.0621,null_scene_warmup,1,null_rl,6.0621
3,32,13.2606,5.3115,84.00,8706,366206,3430,0.0000,0.0000,0.003874,1.1488,1,0.0000,0.0000,1.0988,0.0500,0.0000,1.1488,6.0621,null_scene_warmup,1,null_rl,6.0621
3,33,12.0416,5.2101,89.24,8706,354827,3344,0.0000,0.0000,0.003874,1.1488,1,0.0000,0.0000,1.0988,0.0500,0.0000,1.1488,6.0621,null_scene_warmup,1,null_rl,6.0621
3,34,12.3627,5.3524,90.88,8706,368845,3480,0.0000,0.0000,0.003874,1.1988,1,0.0000,0.0000,1.1488,0.0500,0.0000,1.1988,6.0621,null_scene_warmup,1,null_rl,6.0621
3,35,13.1302,5.4948,85.68,8706,368686,3443,0.0000,0.0000,0.003874,1.1988,1,0.0000,0.0000,1.1488,0.0500,0.0000,1.1988,6.0621,null_scene_warmup,1,null_rl,6.0621
3,36,12.8955,5.3422,93.06,8706,376040,2860,0.0000,0.0000,0.003874,1.1988,1,0.0000,0.0000,1.1488,0.0500,0.0000,1.1988,6.0621,null_scene_warmup,1,null_rl,6.0621
3,37,12.8593,5.2869,90.07,8706,371548,3474,0.0000,0.0000,0.003874,1.1988,1,0.0000,0.0000,1.1488,0.0500,0.0000,1.1988,6.0621,null_scene_warmup,1,null_rl,6.0621
3,38,11.7402,5.4948,87.66,8706,375314,3539,0.0000,3.4681,0.003874,1.1988,1,0.0000,0.0000,1.1488,0.0500,0.0000,1.1988,6.0621,null_scene_warmup,1,null_rl,6.0621
3,39,13.1720,5.5818,88.16,8613,368026,3417,0.0000,12.5760,0.003979,1.1988,1,0.0000,0.0000,1.1488,0.0500,0.0000,1.1988,6.0621,null_scene_warmup,1,null_rl,6.0621
3,40,11.9387,5.5009,75.35,8571,356766,3342,0.0000,0.0000,0.004050,1.1988,2,0.0000,0.0000,1.1988,0.0500,0.0500,1.2488,6.0621,null_scene_warmup,1,null_rl,6.0621
