episode,step,cpu_frame_time,gpu_frame_time,fps,visible_renderer_count,triangle_count,draw_call_count,camera_speed,camera_rotation_speed,avg_screen_coverage,previous_bias,recent_lod_switch_count,floor_dwell_score,ceiling_dwell_score,lod_bias_before_action,raw_action_delta,action_delta,lod_bias_after_action,selected_target_ms,target_source,scene_target_ready,collection_mode,gpu_ms_at_target_lock
1,0,16.6779,4.4093,59.87,642,200141,753,0.0000,2.3686,0.034508,1.0000,1,0.0000,0.0000,1.0000,0.1926,0.0385,1.0385,5.0000,json_training,0,active_rl,NaN
1,1,16.7692,4.3991,59.85,642,198175,732,0.0000,4.7363,0.034328,1.0385,1,0.0000,0.0000,1.0000,0.1999,0.0000,1.0385,5.0000,json_training,0,active_rl,NaN
1,2,16.8708,4.4012,59.84,642,197685,735,0.0000,3.3485,0.034389,1.0385,1,0.0000,0.0000,1.0000,0.0714,0.0000,1.0385,5.0000,json_training,0,active_rl,NaN
1,3,16.8700,4.4370,60.00,640,195293,731,0.0000,2.3739,0.034508,1.0385,1,0.0000,0.0000,1.0000,0.2000,0.0000,1.0385,5.0000,json_training,0,active_rl,NaN
1,4,16.7440,4.5251,59.80,639,197613,733,0.0000,0.0000,0.034550,1.0385,1,0.0000,0.0000,1.0000,0.0734,0.0000,1.0385,5.0000,json_training,0,active_rl,NaN
1,5,16.4728,4.4544,59.92,639,196503,728,0.0000,0.0000,0.034557,1.0385,1,0.0000,0.0000,1.0000,0.2000,0.0000,1.0385,5.0000,json_training,0,active_rl,NaN
1,6,16.1914,4.2875,60.07,639,194438,731,0.0000,0.0000,0.034557,1.0385,1,0.0000,0.0000,1.0000,0.1112,0.0000,1.0385,5.0000,json_training,0,active_rl,NaN
1,7,16.9975,4.3254,59.74,638,199917,733,0.0000,4.0938,0.034638,1.0385,1,0.0000,0.0000,1.0000,0.2000,0.0000,1.0385,5.0000,json_training,0,active_rl,NaN
1,8,16.5474,4.3500,59.85,637,199001,732,0.0000,0.0000,0.034670,1.0385,1,0.0000,0.0000,1.0000,0.1391,0.0000,1.0385,5.0000,json_training,0,active_rl,NaN
1,9,16.6982,4.3633,60.07,635,196123,732,0.0000,0.0000,0.034725,1.0385,1,0.0000,0.0000,1.0000,0.2000,0.0000,1.0385,5.0000,json_training,0,active_rl,NaN
1,10,16.7642,4.4012,59.98,634,197019,730,0.0000,0.0000,0.034766,1.0385,1,0.0000,0.0000,1.0000,0.1346,0.0000,1.0385,5.0000,json_training,0,active_rl,NaN
1,11,16.2600,4.4237,59.42,634,197443,731,0.0000,0.0000,0.034766,1.0385,1,0.0000,0.0000,1.0000,0.2000,0.0000,1.0385,5.0000,json_training,0,active_rl,NaN
1,12,16.7253,4.4268,59.95,634,197201,727,0.0000,0.0000,0.034766,1.0385,1,0.0000,0.0000,1.0000,0.0962,0.0000,1.0385,5.0000,json_training,0,active_rl,NaN
1,13,16.5087,4.2916,60.01,634,195309,730,0.0000,3.3579,0.034766,1.0385,1,0.0000,0.0000,1.0000,0.1001,0.0000,1.0385,5.0000,json_training,0,active_rl,NaN
1,14,16.7763,4.3725,59.97,630,192625,718,0.0000,0.0000,0.034885,1.0385,1,0.0000,0.0000,1.0000,0.2000,0.0000,1.0385,5.0000,json_training,0,active_rl,NaN
1,15,16.5321,4.3233,60.16,630,194567,711,0.0000,0.0000,0.034885,1.0385,0,0.0000,0.0000,1.0000,0.2000,0.0000,1.0385,5.0000,json_training,0,active_rl,NaN
1,16,16.7611,4.2947,59.88,630,184391,699,0.0000,0.0000,0.034885,1.0385,1,0.0000,0.0000,1.0385,0.2000,0.1665,1.2050,5.0000,json_training,0,active_rl,NaN
1,17,16.6701,4.3489,60.06,630,190551,714,0.0000,0.0000,0.034885,1.2050,1,0.0000,0.0000,1.0385,0.0781,0.0000,1.2050,5.0000,json_training,0,active_rl,NaN
1,18,16.8966,4.4605,60.19,628,189989,714,0.0000,0.0000,0.034951,1.2050,1,0.0000,0.0000,1.0385,0.1702,0.0000,1.2050,5.0000,json_training,0,active_rl,NaN
1,19,16.6381,4.3438,60.16,628,191211,716,0.0000,0.0000,0.034951,1.2050,1,0.0000,0.0000,1.0385,0.0701,0.0000,1.2050,5.0000,json_training,0,active_rl,NaN
1,20,16.7245,4.4268,59.98,628,191077,714,0.0000,0.0000,0.034951,1.2050,1,0.0000,0.0000,1.0385,0.1773,0.0000,1.2050,5.0000,json_training,0,active_rl,NaN
1,21,16.6808,4.4216,59.97,628,186253,713,0.0000,0.0000,0.034951,1.2050,1,0.0000,0.0000,1.0385,0.1813,0.0000,1.2050,5.0000,json_training,0,active_rl,NaN
1,22,16.6777,4.4268,59.93,628,191761,712,0.0000,5.8085,0.034951,1.2050,1,0.0000,0.0000,1.0385,0.1759,0.0000,1.2050,5.0000,json_training,0,active_rl,NaN
1,23,16.7575,4.4268,59.97,615,191825,710,0.0000,0.0000,0.034985,1.2050,1,0.0000,0.0000,1.0385,0.1602,0.0000,1.2050,5.0000,json_training,0,active_rl,NaN
1,24,17.0022,4.3940,60.16,615,186669,707,0.0000,0.0000,0.034981,1.2050,1,0.0000,0.0000,1.0385,0.1835,0.0000,1.2050,5.0000,json_training,0,active_rl,NaN
