episode,step,cpu_frame_time,gpu_frame_time,fps,visible_renderer_count,triangle_count,draw_call_count,camera_speed,camera_rotation_speed,avg_screen_coverage,previous_bias,recent_lod_switch_count,floor_dwell_score,ceiling_dwell_score,lod_bias_before_action,raw_action_delta,action_delta,lod_bias_after_action,selected_target_ms,target_source,scene_target_ready,collection_mode,gpu_ms_at_target_lock
4,0,15.6003,4.2414,59.51,4216,290603,2278,5.8098,10.5289,0.004395,1.0000,0,0.0000,0.0000,0.6207,0.0500,0.0000,1.0000,6.0621,null_scene_warmup,1,null_rl,6.0621
4,1,16.4109,4.6479,59.79,4137,279279,2233,5.9787,10.5785,0.004471,1.0000,1,0.0000,0.0000,1.0000,0.0500,0.0244,1.0244,6.0621,null_scene_warmup,1,null_rl,6.0621
4,2,14.5668,4.7145,59.91,4129,281287,2262,5.9910,8.2110,0.004376,1.0244,1,0.0000,0.0000,1.0000,0.0500,0.0000,1.0244,6.0621,null_scene_warmup,1,null_rl,6.0621
4,3,15.2937,4.9725,59.66,4096,284707,2261,5.9655,3.3379,0.004516,1.0244,1,0.0000,0.0000,1.0000,0.0500,0.0000,1.0244,6.0621,null_scene_warmup,1,null_rl,6.0621
4,4,14.3806,4.8804,59.81,4047,284251,2236,5.9811,8.5323,0.004691,1.0244,1,0.0000,0.0000,1.0000,0.0500,0.0000,1.0244,6.0621,null_scene_warmup,1,null_rl,6.0621
4,5,15.6906,4.9766,59.75,4048,279487,2219,5.9748,15.6806,0.004781,1.0244,1,0.0000,0.0000,1.0000,0.0500,0.0000,1.0244,6.0621,null_scene_warmup,1,null_rl,6.0621
4,6,15.6040,4.9807,60.06,3998,274475,2202,6.0062,12.1168,0.004990,1.0244,1,0.0000,0.0000,1.0000,0.0500,0.0000,1.0244,6.0621,null_scene_warmup,1,null_rl,6.0621
4,7,15.4819,5.0678,59.84,3940,273434,2218,5.9840,7.1026,0.005127,1.0244,1,0.0000,0.0000,1.0000,0.0500,0.0000,1.0244,6.0621,null_scene_warmup,1,null_rl,6.0621
4,8,15.8493,5.0545,59.61,3920,274524,2170,5.9615,7.0757,0.005288,1.0244,1,0.0000,0.0000,1.0000,0.0500,0.0000,1.0244,6.0621,null_scene_warmup,1,null_rl,6.0621
4,9,15.3071,4.9797,59.92,3876,270671,2172,5.9885,9.4821,0.005607,1.0244,1,0.0000,0.0000,1.0000,0.0500,0.0000,1.0244,6.0621,null_scene_warmup,1,null_rl,6.0621
