episode,step,cpu_frame_time,gpu_frame_time,fps,visible_renderer_count,triangle_count,draw_call_count,camera_speed,camera_rotation_speed,avg_screen_coverage,previous_bias,recent_lod_switch_count,floor_dwell_score,ceiling_dwell_score,lod_bias_before_action,raw_action_delta,action_delta,lod_bias_after_action,selected_target_ms,target_source,scene_target_ready,collection_mode,gpu_ms_at_target_lock
5,0,12.9482,6.1798,85.62,13932,542274,3382,0.0000,0.0000,0.004804,1.0000,0,0.0000,0.0000,1.2746,-0.0500,0.0000,1.0000,6.0621,null_scene_warmup,1,null_rl,6.0621
5,1,12.7891,6.7430,87.02,13932,533170,3360,0.0000,0.0000,0.004804,1.0000,0,0.0000,0.0000,1.2746,-0.0500,0.0000,1.0000,6.0621,null_scene_warmup,1,null_rl,6.0621
5,2,13.1112,6.6816,87.57,13932,535052,3367,0.0000,0.0000,0.004804,1.0000,1,0.0000,0.0000,1.0000,-0.0500,-0.0244,0.9756,6.0621,null_scene_warmup,1,null_rl,6.0621
5,3,13.0494,6.4430,88.52,13932,530858,3365,0.0000,0.0000,0.004804,0.9756,1,0.0000,0.0000,1.0000,-0.0500,0.0000,0.9756,6.0621,null_scene_warmup,1,null_rl,6.0621
5,4,12.9275,6.6898,84.13,13932,539523,3414,0.0000,0.0000,0.004804,0.9756,1,0.0000,0.0000,1.0000,-0.0500,0.0000,0.9756,6.0621,null_scene_warmup,1,null_rl,6.0621
5,5,12.7888,6.4584,90.12,13932,533876,3387,0.0000,0.0000,0.004804,0.9756,1,0.0000,0.0000,1.0000,-0.0500,0.0000,0.9756,6.0621,null_scene_warmup,1,null_rl,6.0621
5,6,12.6740,6.8536,88.89,13932,534881,3390,0.0000,0.0000,0.004804,0.9756,1,0.0000,0.0000,1.0000,-0.0500,0.0000,0.9756,6.0621,null_scene_warmup,1,null_rl,6.0621
5,7,12.7472,6.3560,87.28,13932,526912,3357,0.0000,0.0000,0.004804,0.9756,1,0.0000,0.0000,1.0000,-0.0500,0.0000,0.9756,6.0621,null_scene_warmup,1,null_rl,6.0621
5,8,12.8193,6.2495,90.73,13932,507112,3154,0.0000,0.0000,0.004804,0.9756,1,0.0000,0.0000,1.0000,-0.0500,0.0000,0.9756,6.0621,null_scene_warmup,1,null_rl,6.0621
5,9,12.6636,6.4154,89.71,13932,523993,3222,0.0000,0.0000,0.004804,0.9756,1,0.0000,0.0000,1.0000,-0.0500,0.0000,0.9756,6.0621,null_scene_warmup,1,null_rl,6.0621
5,10,12.9359,6.3027,90.66,13932,517459,3239,0.0000,0.0000,0.004804,0.9756,1,0.0000,0.0000,1.0000,-0.0500,0.0000,0.9756,6.0621,null_scene_warmup,1,null_rl,6.0621
5,11,12.7691,6.3990,88.74,13932,517792,3218,0.0000,0.0000,0.004804,0.9756,1,0.0000,0.0000,1.0000,-0.0500,0.0000,0.9756,6.0621,null_scene_warmup,1,null_rl,6.0621
5,12,12.6735,5.6791,93.16,13932,476608,2704,0.0000,0.0000,0.004804,0.9756,1,0.0000,0.0000,1.0000,-0.0500,0.0000,0.9756,6.0621,null_scene_warmup,1,null_rl,6.0621
