episode,step,cpu_frame_time,gpu_frame_time,fps,visible_renderer_count,triangle_count,draw_call_count,camera_speed,camera_rotation_speed,avg_screen_coverage,previous_bias,recent_lod_switch_count,floor_dwell_score,ceiling_dwell_score,lod_bias_before_action,raw_action_delta,action_delta,lod_bias_after_action,selected_target_ms,target_source,scene_target_ready,collection_mode,gpu_ms_at_target_lock
0,0,17.4378,0.3226,50.00,14493,372255,2538,0.0000,0.0000,0.002642,2.0000,1,0.0000,0.3000,1.0000,-0.1357,-0.0271,0.9729,5.0000,json_training,0,active_rl,NaN
0,1,75.7329,27.2005,35.33,14494,476832,4021,0.0000,0.0000,0.002710,0.9729,1,0.0000,0.2149,1.0000,-0.2000,0.0000,0.9729,5.0000,json_training,0,active_rl,NaN
0,2,35.8874,26.7776,25.52,14494,466524,3979,0.0000,0.0000,0.002710,0.9729,1,0.0000,0.1819,1.0000,-0.2000,0.0000,0.9729,5.0000,json_training,0,active_rl,NaN
0,3,26.4483,26.9599,25.49,14581,453437,3898,0.0000,14.6124,0.002712,0.9729,1,0.0000,0.1303,1.0000,-0.2000,0.0000,0.9729,5.0000,json_training,0,active_rl,NaN
0,4,34.2936,8.6692,58.29,15405,477110,3874,0.0000,66.7657,0.002699,0.9729,1,0.0000,0.1103,1.0000,-0.2000,0.0000,0.9729,5.0000,json_training,0,active_rl,NaN
0,5,27.4430,6.0099,75.06,16663,496430,4278,0.0000,144.1172,0.002575,0.9729,2,0.0000,0.0934,0.9729,-0.1837,-0.1401,0.8328,5.0000,json_training,0,active_rl,NaN
0,6,34.8568,6.6642,70.84,20925,565406,5161,2.8323,5.6051,0.002475,0.8328,2,0.0000,0.0291,0.9729,-0.2000,0.0000,0.8328,5.0000,json_training,0,active_rl,NaN
0,7,32.4792,6.4000,65.45,20802,535799,4785,2.6176,0.0000,0.002297,0.8328,2,0.0000,0.0149,0.8328,-0.1999,-0.1616,0.6711,5.0000,json_training,0,active_rl,NaN
0,8,34.0232,6.6243,75.65,20625,545295,4843,0.0000,0.0000,0.002193,0.6711,1,0.0000,0.0077,0.8328,-0.1889,0.0000,0.6711,5.0000,json_training,0,active_rl,NaN
0,9,34.3588,6.2792,70.87,20564,557011,4879,2.8340,0.0000,0.002223,0.6711,1,0.0000,0.0065,0.8328,-0.1984,0.0000,0.6711,5.0000,json_training,0,active_rl,NaN
0,10,33.2902,6.3836,52.87,20517,525694,4692,2.1144,0.0000,0.002386,0.6711,1,0.0000,0.0055,0.8328,-0.1925,0.0000,0.6711,5.0000,json_training,0,active_rl,NaN
0,11,34.0277,6.1983,68.55,20467,544432,4850,2.7398,0.0000,0.002577,0.6711,1,0.0000,0.0046,0.8328,-0.1961,0.0000,0.6711,5.0000,json_training,0,active_rl,NaN
0,12,35.1790,6.3744,73.61,20427,535662,4857,0.0000,0.0000,0.002599,0.6711,1,0.0000,0.0039,0.8328,-0.1387,0.0000,0.6711,5.0000,json_training,0,active_rl,NaN
