episode,step,cpu_frame_time,gpu_frame_time,fps,visible_renderer_count,triangle_count,draw_call_count,camera_speed,camera_rotation_speed,avg_screen_coverage,previous_bias,recent_lod_switch_count,floor_dwell_score,ceiling_dwell_score,lod_bias_before_action,raw_action_delta,action_delta,lod_bias_after_action,selected_target_ms,target_source,scene_target_ready,collection_mode,gpu_ms_at_target_lock
2,0,16.6490,4.1574,60.25,216,275025,391,0.0000,0.0000,0.139797,1.0000,1,0.0000,0.0000,1.0000,0.2000,0.0400,1.0400,5.0000,json_training,0,active_rl,NaN
2,1,16.7218,4.2926,59.73,216,279451,392,0.0000,0.0000,0.139797,1.0400,1,0.0000,0.0000,1.0000,0.2000,0.0000,1.0400,5.0000,json_training,0,active_rl,NaN
2,2,16.6702,4.5271,59.90,216,276457,381,0.0000,0.0000,0.139797,1.0400,1,0.0000,0.0000,1.0000,0.1161,0.0000,1.0400,5.0000,json_training,0,active_rl,NaN
2,3,16.6161,4.5179,60.10,216,278501,382,0.0000,0.0000,0.139797,1.0400,1,0.0000,0.0000,1.0000,0.2000,0.0000,1.0400,5.0000,json_training,0,active_rl,NaN
2,4,16.6488,4.3418,60.17,216,277579,381,0.0000,0.0000,0.139797,1.0400,1,0.0000,0.0000,1.0000,0.0918,0.0000,1.0400,5.0000,json_training,0,active_rl,NaN
2,5,16.7561,4.3807,60.06,216,278361,381,0.0000,0.0000,0.139797,1.0400,1,0.0000,0.0000,1.0000,0.2000,0.0000,1.0400,5.0000,json_training,0,active_rl,NaN
2,6,16.7314,4.3756,60.18,216,275367,380,0.0000,0.0000,0.139797,1.0400,1,0.0000,0.0000,1.0000,0.2000,0.0000,1.0400,5.0000,json_training,0,active_rl,NaN
2,7,16.6750,4.3725,59.84,216,272129,382,0.0000,0.0000,0.139797,1.0400,1,0.0000,0.0000,1.0000,0.2000,0.0000,1.0400,5.0000,json_training,0,active_rl,NaN
2,8,16.6845,4.5507,60.16,216,277731,381,0.0000,0.0000,0.139797,1.0400,1,0.0000,0.0000,1.0000,0.0806,0.0000,1.0400,5.0000,json_training,0,active_rl,NaN
2,9,16.6861,4.4974,59.76,216,277107,381,0.0000,0.0000,0.139797,1.0400,1,0.0000,0.0000,1.0000,0.2000,0.0000,1.0400,5.0000,json_training,0,active_rl,NaN
2,10,16.6671,4.4769,60.28,216,268415,381,0.0000,0.0000,0.139797,1.0400,1,0.0000,0.0000,1.0000,0.1019,0.0000,1.0400,5.0000,json_training,0,active_rl,NaN
2,11,16.7119,4.3766,59.89,216,273641,380,0.0000,0.0000,0.139797,1.0400,1,0.0000,0.0000,1.0000,0.2000,0.0000,1.0400,5.0000,json_training,0,active_rl,NaN
2,12,16.6392,4.5558,59.96,216,277855,382,0.0000,0.0000,0.139797,1.0400,1,0.0000,0.0000,1.0000,0.1011,0.0000,1.0400,5.0000,json_training,0,active_rl,NaN
2,13,16.6514,4.4800,60.11,216,273133,379,0.0000,0.0000,0.139797,1.0400,1,0.0000,0.0000,1.0000,0.2000,0.0000,1.0400,5.0000,json_training,0,active_rl,NaN
2,14,16.6780,4.4902,59.87,216,272297,380,0.0000,0.0000,0.139797,1.0400,1,0.0000,0.0000,1.0000,0.2000,0.0000,1.0400,5.0000,json_training,0,active_rl,NaN
2,15,16.6979,4.3704,59.85,216,276593,380,0.0000,0.0000,0.139797,1.0400,1,0.0000,0.0000,1.0400,0.2000,0.1700,1.2100,5.0000,json_training,0,active_rl,NaN
2,16,16.6610,4.0847,60.08,216,212257,341,0.0000,0.0000,0.139797,1.2100,1,0.0000,0.0000,1.0400,0.1430,0.0000,1.2100,5.0000,json_training,0,active_rl,NaN
2,17,16.6724,4.1288,59.84,216,210247,338,0.0000,0.0000,0.139797,1.2100,1,0.0000,0.0000,1.0400,0.1993,0.0000,1.2100,5.0000,json_training,0,active_rl,NaN
2,18,16.6427,4.0776,59.89,216,213261,340,0.0000,0.0000,0.139797,1.2100,1,0.0000,0.0000,1.0400,0.1999,0.0000,1.2100,5.0000,json_training,0,active_rl,NaN
2,19,16.6548,4.0940,60.20,216,207635,338,0.0000,0.0000,0.139797,1.2100,1,0.0000,0.0000,1.0400,0.1998,0.0000,1.2100,5.0000,json_training,0,active_rl,NaN
2,20,16.7264,3.9649,60.05,216,213729,341,0.0000,0.0000,0.139797,1.2100,1,0.0000,0.0000,1.0400,0.1995,0.0000,1.2100,5.0000,json_training,0,active_rl,NaN
2,21,16.6859,4.0878,60.01,216,213083,340,0.0000,0.0000,0.139797,1.2100,1,0.0000,0.0000,1.0400,0.1999,0.0000,1.2100,5.0000,json_training,0,active_rl,NaN
2,22,16.6823,4.0786,59.91,216,215129,341,0.0000,0.0000,0.139797,1.2100,1,0.0000,0.0000,1.0400,0.1998,0.0000,1.2100,5.0000,json_training,0,active_rl,NaN
2,23,16.6630,4.0888,59.87,216,207001,334,0.0000,0.0000,0.139797,1.2100,1,0.0000,0.0000,1.0400,0.1989,0.0000,1.2100,5.0000,json_training,0,active_rl,NaN
2,24,16.6443,4.0622,60.01,216,215131,341,0.0000,0.0000,0.139797,1.2100,1,0.0000,0.0000,1.0400,0.1999,0.0000,1.2100,5.0000,json_training,0,active_rl,NaN
2,25,16.7131,4.0888,59.77,216,214617,341,0.0000,0.0000,0.139797,1.2100,1,0.0000,0.0000,1.0400,0.1999,0.0000,1.2100,5.0000,json_training,0,active_rl,NaN
2,26,16.6155,4.1175,59.84,216,213953,341,0.0000,0.0000,0.139797,1.2100,1,0.0000,0.0000,1.0400,0.2000,0.0000,1.2100,5.0000,json_training,0,active_rl,NaN
2,27,16.6541,4.0643,59.98,216,212305,339,0.0000,0.0000,0.139797,1.2100,1,0.0000,0.0000,1.0400,0.1994,0.0000,1.2100,5.0000,json_training,0,active_rl,NaN
2,28,16.6119,4.0591,59.71,216,215127,341,0.0000,0.0000,0.139797,1.2100,1,0.0000,0.0000,1.0400,0.1997,0.0000,1.2100,5.0000,json_training,0,active_rl,NaN
2,29,16.6799,4.0253,59.80,216,212329,340,0.0000,0.0000,0.139797,1.2100,1,0.0000,0.0000,1.0400,0.1978,0.0000,1.2100,5.0000,json_training,0,active_rl,NaN
2,30,16.6093,4.0458,60.08,216,213949,340,0.0000,0.0000,0.139797,1.2100,0,0.0000,0.0000,1.0400,0.2000,0.0000,1.2100,5.0000,json_training,0,active_rl,NaN
2,31,16.6689,3.9987,59.73,216,210041,336,0.0000,0.0000,0.139797,1.2100,1,0.0000,0.0000,1.2100,0.1999,0.1983,1.4083,5.0000,json_training,0,active_rl,NaN
2,32,16.6200,4.0161,59.99,216,268887,362,0.0000,0.0000,0.139797,1.4083,1,0.0000,0.0000,1.2100,0.0704,0.0000,1.4083,5.0000,json_training,0,active_rl,NaN
2,33,16.7031,4.3203,60.03,216,265585,360,0.0000,0.0000,0.139797,1.4083,1,0.0000,0.0000,1.2100,0.1258,0.0000,1.4083,5.0000,json_training,0,active_rl,NaN
2,34,16.6180,4.2834,60.10,216,268545,361,0.0000,0.0000,0.139797,1.4083,1,0.0000,0.0000,1.2100,0.0407,0.0000,1.4083,5.0000,json_training,0,active_rl,NaN
2,35,16.6648,4.3295,60.01,216,269413,362,0.0000,0.0000,0.139797,1.4083,1,0.0000,0.0000,1.2100,0.1065,0.0000,1.4083,5.0000,json_training,0,active_rl,NaN
2,36,16.7109,4.3581,60.06,216,269669,362,0.0000,0.0000,0.139797,1.4083,1,0.0000,0.0000,1.2100,0.1214,0.0000,1.4083,5.0000,json_training,0,active_rl,NaN
2,37,16.6607,4.4155,59.99,216,268505,361,0.0000,0.0000,0.139797,1.4083,1,0.0000,0.0000,1.2100,0.1044,0.0000,1.4083,5.0000,json_training,0,active_rl,NaN
2,38,16.6784,4.4646,59.78,216,266907,360,0.0000,0.0000,0.139797,1.4083,1,0.0000,0.0000,1.2100,0.1153,0.0000,1.4083,5.0000,json_training,0,active_rl,NaN
2,39,16.6614,4.4698,60.01,216,264699,360,0.0000,0.0000,0.139797,1.4083,1,0.0000,0.0000,1.2100,0.1161,0.0000,1.4083,5.0000,json_training,0,active_rl,NaN
2,40,16.6329,4.4063,60.25,216,269145,361,0.0000,0.0000,0.139797,1.4083,1,0.0000,0.0000,1.2100,0.1040,0.0000,1.4083,5.0000,json_training,0,active_rl,NaN
2,41,16.7717,4.4012,60.03,216,269069,362,0.0000,0.0000,0.139797,1.4083,1,0.0000,0.0000,1.2100,0.1074,0.0000,1.4083,5.0000,json_training,0,active_rl,NaN
2,42,16.6683,4.3428,60.07,216,269667,362,0.0000,0.0000,0.139797,1.4083,1,0.0000,0.0000,1.2100,0.1157,0.0000,1.4083,5.0000,json_training,0,active_rl,NaN
2,43,16.7150,4.3448,60.38,216,266667,360,0.0000,0.0000,0.139797,1.4083,1,0.0000,0.0000,1.2100,0.1049,0.0000,1.4083,5.0000,json_training,0,active_rl,NaN
2,44,16.7905,4.4145,60.33,216,269015,361,0.0000,0.0000,0.139797,1.4083,1,0.0000,0.0000,1.2100,0.1224,0.0000,1.4083,5.0000,json_training,0,active_rl,NaN
2,45,16.8286,4.4820,59.74,216,269665,362,0.0000,0.0000,0.139797,1.4083,1,0.0000,0.0000,1.2100,0.1197,0.0000,1.4083,5.0000,json_training,0,active_rl,NaN
2,46,16.6448,4.3837,59.57,216,268745,361,0.0000,0.0000,0.139797,1.4083,1,0.0000,0.0000,1.4083,0.1145,0.1160,1.5243,5.0000,json_training,0,active_rl,NaN
2,47,16.6280,4.3653,60.28,216,247469,324,0.0000,0.0000,0.139797,1.5243,1,0.0000,0.0000,1.4083,0.0865,0.0000,1.5243,5.0000,json_training,0,active_rl,NaN
2,48,16.6354,4.1329,60.08,216,248075,325,0.0000,4.7539,0.139797,1.5243,1,0.0000,0.0000,1.4083,0.1404,0.0000,1.5243,5.0000,json_training,0,active_rl,NaN
2,49,17.0329,4.1615,59.98,203,244053,308,0.0000,7.1189,0.148358,1.5243,1,0.0000,0.0000,1.4083,0.1339,0.0000,1.5243,5.0000,json_training,0,active_rl,NaN
2,50,16.4221,4.0735,60.04,189,236551,288,0.0000,7.5116,0.157900,1.5243,1,0.0000,0.0000,1.4083,0.1336,0.0000,1.5243,5.0000,json_training,0,active_rl,NaN
2,51,16.5253,4.1114,59.96,185,231623,283,0.0000,7.1173,0.161093,1.5243,1,0.0000,0.0000,1.4083,0.1381,0.0000,1.5243,5.0000,json_training,0,active_rl,NaN
2,52,16.8094,4.1114,60.20,172,226375,270,0.0000,5.8339,0.172392,1.5243,1,0.0000,0.0000,1.4083,0.1381,0.0000,1.5243,5.0000,json_training,0,active_rl,NaN
2,53,16.5526,4.0868,59.88,168,229929,268,0.0000,5.8029,0.176367,1.5243,1,0.0000,0.0000,1.4083,0.1369,0.0000,1.5243,5.0000,json_training,0,active_rl,NaN
2,54,16.4874,4.0346,60.47,165,222287,263,0.0000,4.7852,0.179524,1.5243,1,0.0000,0.0000,1.4083,0.1439,0.0000,1.5243,5.0000,json_training,0,active_rl,NaN
2,55,16.6831,4.0387,60.07,164,223803,262,0.0000,2.3766,0.180764,1.5243,1,0.0000,0.0000,1.4083,0.1430,0.0000,1.5243,5.0000,json_training,0,active_rl,NaN
2,56,16.5610,4.0704,59.85,163,221361,259,0.0000,0.0000,0.181907,1.5243,1,0.0000,0.0000,1.4083,0.1488,0.0000,1.5243,5.0000,json_training,0,active_rl,NaN
2,57,16.6619,4.0704,59.92,163,220283,257,0.0000,0.0000,0.181907,1.5243,1,0.0000,0.0000,1.4083,0.1425,0.0000,1.5243,5.0000,json_training,0,active_rl,NaN
