episode,step,cpu_frame_time,gpu_frame_time,fps,visible_renderer_count,triangle_count,draw_call_count,camera_speed,camera_rotation_speed,avg_screen_coverage,previous_bias,recent_lod_switch_count,floor_dwell_score,ceiling_dwell_score,lod_bias_before_action,raw_action_delta,action_delta,lod_bias_after_action,selected_target_ms,target_source,scene_target_ready,collection_mode,gpu_ms_at_target_lock
5,0,16.5815,4.6612,58.80,1332,272535,834,0.0000,0.0000,0.017751,1.0000,0,0.0000,0.0000,0.8495,0.0480,0.0000,1.0000,5.0000,json_training,0,active_rl,NaN
5,1,16.7114,4.6387,59.94,1176,277021,829,0.0000,0.0000,0.020101,1.0000,1,0.0000,0.0000,1.0000,0.1986,0.0474,1.0474,5.0000,json_training,0,active_rl,NaN
5,2,16.3685,4.7012,59.99,1084,273487,817,0.0000,0.0000,0.021815,1.0474,1,0.0000,0.0000,1.0000,0.0160,0.0000,1.0474,5.0000,json_training,0,active_rl,NaN
5,3,16.3702,4.8230,59.96,1054,275813,816,0.0000,2.3721,0.022439,1.0474,1,0.0000,0.0000,1.0000,0.1685,0.0000,1.0474,5.0000,json_training,0,active_rl,NaN
5,4,16.6400,4.5742,60.03,976,271879,807,0.0000,0.0000,0.024252,1.0474,1,0.0000,0.0000,1.0000,0.0050,0.0000,1.0474,5.0000,json_training,0,active_rl,NaN
5,5,16.2840,4.7299,59.98,976,271213,802,0.0000,0.0000,0.024252,1.0474,1,0.0000,0.0000,1.0000,0.1915,0.0000,1.0474,5.0000,json_training,0,active_rl,NaN
5,6,16.7106,4.7749,59.76,976,273938,817,0.0000,0.0000,0.024252,1.0474,1,0.0000,0.0000,1.0000,0.0258,0.0000,1.0474,5.0000,json_training,0,active_rl,NaN
5,7,16.6647,4.6705,59.99,976,269179,793,0.0000,0.0000,0.024252,1.0474,1,0.0000,0.0000,1.0000,0.1823,0.0000,1.0474,5.0000,json_training,0,active_rl,NaN
5,8,16.6067,4.5793,59.68,892,273511,795,0.0000,0.0000,0.026562,1.0474,1,0.0000,0.0000,1.0000,0.0331,0.0000,1.0474,5.0000,json_training,0,active_rl,NaN
5,9,16.5763,4.5681,60.06,870,268985,794,0.0000,0.0000,0.027246,1.0474,1,0.0000,0.0000,1.0000,0.1605,0.0000,1.0474,5.0000,json_training,0,active_rl,NaN
5,10,16.6138,4.7299,60.06,870,273309,795,0.0000,0.0000,0.027246,1.0474,1,0.0000,0.0000,1.0000,0.0124,0.0000,1.0474,5.0000,json_training,0,active_rl,NaN
5,11,16.6846,4.6602,60.01,870,270597,793,0.0000,0.0000,0.027246,1.0474,1,0.0000,0.0000,1.0000,0.1597,0.0000,1.0474,5.0000,json_training,0,active_rl,NaN
5,12,16.9385,4.4134,59.95,768,242725,765,0.0000,0.0000,0.030886,1.0474,1,0.0000,0.0000,1.0000,0.0222,0.0000,1.0474,5.0000,json_training,0,active_rl,NaN
5,13,16.4987,4.5937,60.05,729,242379,768,0.0000,0.0000,0.032591,1.0474,1,0.0000,0.0000,1.0000,0.1997,0.0000,1.0474,5.0000,json_training,0,active_rl,NaN
5,14,16.7204,4.4820,59.96,719,237043,756,0.0000,0.0000,0.033053,1.0474,1,0.0000,0.0000,1.0000,0.0672,0.0000,1.0474,5.0000,json_training,0,active_rl,NaN
5,15,17.0832,4.4595,59.95,715,239678,760,0.0000,3.3541,0.033256,1.0474,1,0.0000,0.0000,1.0000,0.2000,0.0000,1.0474,5.0000,json_training,0,active_rl,NaN
5,16,16.9885,4.4595,59.99,689,244183,757,0.0000,2.3737,0.034581,1.0474,0,0.0000,0.0000,1.0000,0.0735,0.0000,1.0474,5.0000,json_training,0,active_rl,NaN
5,17,16.5392,4.4257,59.94,685,240547,746,0.0000,0.0000,0.034860,1.0474,1,0.0000,0.0000,1.0474,0.2000,0.1272,1.1746,5.0000,json_training,0,active_rl,NaN
5,18,16.7908,4.4759,59.30,682,262949,766,0.0000,0.0000,0.035075,1.1746,1,0.0000,0.0000,1.0474,0.1640,0.0000,1.1746,5.0000,json_training,0,active_rl,NaN
5,19,16.9441,4.6131,60.85,681,260471,754,0.0000,0.0000,0.035178,1.1746,1,0.0000,0.0000,1.0474,0.1352,0.0000,1.1746,5.0000,json_training,0,active_rl,NaN
5,20,16.5690,4.5527,59.99,680,258511,760,0.0000,0.0000,0.035119,1.1746,1,0.0000,0.0000,1.0474,0.0182,0.0000,1.1746,5.0000,json_training,0,active_rl,NaN
5,21,16.6955,4.5773,60.12,680,262201,757,0.0000,0.0000,0.035119,1.1746,1,0.0000,0.0000,1.0474,0.1397,0.0000,1.1746,5.0000,json_training,0,active_rl,NaN
5,22,16.6888,4.7278,59.95,680,262081,761,0.0000,0.0000,0.035119,1.1746,1,0.0000,0.0000,1.0474,0.0180,0.0000,1.1746,5.0000,json_training,0,active_rl,NaN
